                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      4.9099999999999999E-001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      438                  1.0000000000000001E-005                 -4.9999999999999991E+000                  4.9099999999999983E-001                  3.2989759942683150E+001                 -1.0621498327506995E+001                  1.9220462680838408E-005                  5.2495642111884067E-001                  2.4319483071375634E-004                  9.3534126991206235E-001                  5.3531795628359025E-001                  5.2495642111884067E-001                  2.4319483071375634E-004                  9.3534126991206235E-001                  5.3531795628359025E-001                 -1.4162001647652133E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4162001647652133E+001                 -1.4162001647652133E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5947080186425886E+000                  8.5878607517111927E-001                  7.6323583675300832E-001                  2.6024991720300767E+000                 -1.0990995422907405E-002                  5.8458799669066277E+000                 -1.5877594445912580E+000                  1.2378749790675268E+001                 -1.5877594445912580E+000                  5.8458799669066277E+000                  6.2120139850615508E-001                  8.4999665454416673E-001                  1.2966454153355984E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059888E-003                  9.3393757928402401E-003                  3.4416073257059819E-003                  9.3393757928402401E-003                  3.4370000000000001E-001                  1.3746536936109180E-001                                        0                                        0                                        9 
                                       2                                      438                  2.2000000000000003E-005                 -4.9208187539523749E+000                  4.9099999999999944E-001                  3.2989759942683150E+001                 -1.0621901548856620E+001                  1.9220330525682679E-005                  5.2495642111884111E-001                  2.4319491237193382E-004                  9.3534126991206290E-001                  5.3531795628194279E-001                  5.2495642111884111E-001                  2.4319491237193382E-004                  9.3534126991206290E-001                  5.3531795628194279E-001                 -1.4162001745088332E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4162001745088332E+001                 -1.4162001745088332E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5945929557609158E+000                  8.5832055190589751E-001                  7.6323320088374369E-001                  2.6025044437686060E+000                 -1.0710521000915357E-002                  5.8458799723957080E+000                 -1.5877594344264077E+000                  1.2378749806382267E+001                 -1.5877594344264077E+000                  5.8458799723957080E+000                  6.2120139849209932E-001                  8.4999665454416673E-001                  1.2966454153355984E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059823E-003                  9.3393757928402418E-003                  3.4369999999999978E-001                  1.3746536936109177E-001                                        0                                        0                                        9 
                                       3                                      438                  3.6400000000000004E-005                 -4.8416375079047498E+000                  4.9099999999999910E-001                  3.2989759942683150E+001                 -1.0622369707991107E+001                  1.9220164920338198E-005                  5.2495642111884155E-001                  2.4319501424616548E-004                  9.3534126991206346E-001                  5.3531795628007672E-001                  5.2495642111884155E-001                  2.4319501424616548E-004                  9.3534126991206346E-001                  5.3531795628007672E-001                 -1.4162001859653715E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4162001859653715E+001                 -1.4162001859653715E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5944601042447943E+000                  8.5778301070883345E-001                  7.6323013331745515E-001                  2.6025105789011826E+000                 -1.0391380126686084E-002                  5.8458799788694682E+000                 -1.5877594225933918E+000                  1.2378749824752687E+001                 -1.5877594225933918E+000                  5.8458799788694682E+000                  6.2120139847546574E-001                  8.4999665454416684E-001                  1.2966454153355984E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059823E-003                  9.3393757928402418E-003                  3.4369999999999956E-001                  1.3746536936109163E-001                                        0                                        0                                        9 
                                       4                                      438                  5.3680000000000001E-005                 -4.7624562618571247E+000                  4.9099999999999866E-001                  3.2989759942683150E+001                 -1.0622910316754458E+001                  1.9219955881911351E-005                  5.2495642111884222E-001                  2.4319514213877561E-004                  9.3534126991206423E-001                  5.3531795627793255E-001                  5.2495642111884222E-001                  2.4319514213877561E-004                  9.3534126991206423E-001                  5.3531795627793255E-001                 -1.4162001993910353E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4162001993910353E+001                 -1.4162001993910353E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5943076768613169E+000                  8.5716619675088157E-001                  7.6322658110543329E-001                  2.6025176833252255E+000                 -1.0032209482648196E-002                  5.8458799864779492E+000                 -1.5877594088787783E+000                  1.2378749846151862E+001                 -1.5877594088787783E+000                  5.8458799864779492E+000                  6.2120139845584654E-001                  8.4999665454416684E-001                  1.2966454153355984E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059815E-003                  9.3393757928402418E-003                  3.4369999999999928E-001                  1.3746536936109155E-001                                        0                                        0                                        9 
                                       5                                      438                  7.4416000000000000E-005                 -4.6832750158095005E+000                  4.9099999999999805E-001                  3.2989759942683150E+001                 -1.0623530682924430E+001                  1.9219689867561968E-005                  5.2495642111884266E-001                  2.4319530393720316E-004                  9.3534126991206512E-001                  5.3531795627543077E-001                  5.2495642111884266E-001                  2.4319530393720316E-004                  9.3534126991206512E-001                  5.3531795627543077E-001                 -1.4162002150654917E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4162002150654917E+001                 -1.4162002150654917E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5941340195034357E+000                  8.5646338666126143E-001                  7.6322249077638538E-001                  2.6025258639833213E+000                 -9.6316915835872076E-003                  5.8458799953839859E+000                 -1.5877593930589018E+000                  1.2378749870968404E+001                 -1.5877593930589018E+000                  5.8458799953839859E+000                  6.2120139843279654E-001                  8.4999665454416684E-001                  1.2966454153355984E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059819E-003                  9.3393757928402436E-003                  3.4369999999999890E-001                  1.3746536936109136E-001                                        0                                        0                                        9 
                                       6                                      438                  9.9299199999999986E-005                 -4.6040937697618753E+000                  4.9099999999999749E-001                  3.2989759942683150E+001                 -1.0624237583343099E+001                  1.9219348243931234E-005                  9.3534126991206612E-001                  2.4319551029345509E-004                  9.9999998211994190E-001                  9.8208403514575648E-001                  9.3534126991206612E-001                  2.4319551029345509E-004                  9.9999998211994190E-001                  9.8208403514575648E-001                 -1.4162002332891628E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4162002332891628E+001                 -1.4162002332891628E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5939377252706355E+000                  8.5566884916661146E-001                  7.6321781049466098E-001                  2.6025352245467697E+000                 -9.1895252156759324E-003                  5.8458800057607956E+000                 -1.5877593749036236E+000                  1.2378749899607943E+001                 -1.5877593749036236E+000                  5.8458800057607956E+000                  6.2120139840583932E-001                  8.4999665454416684E-001                  1.2966454153355984E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059880E-003                  9.3393757928402401E-003                  3.4416073257059802E-003                  9.3393757928402418E-003                  3.4369999999999845E-001                  1.3746536936109124E-001                                        0                                        0                                        9 
                                       7                                      438                  1.2915903999999998E-004                 -4.5249125237142502E+000                  4.9099999999999672E-001                  3.2989759942683150E+001                 -1.0625036801119473E+001                  1.9218905078168460E-005                  9.3534126991206734E-001                  2.4319577599811684E-004                  9.9999998211994190E-001                  9.8208403514589659E-001                  9.3534126991206734E-001                  2.4319577599811684E-004                  9.9999998211994190E-001                  9.8208403514589659E-001                 -1.4162002543790445E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4162002543790445E+001                 -1.4162002543790445E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5937177692914770E+000                  8.5477838908753712E-001                  7.6321249241344191E-001                  2.6025458607092067E+000                 -8.7073187564058029E-003                  5.8458800177888239E+000                 -1.5877593541802588E+000                  1.2378749932486036E+001                 -1.5877593541802588E+000                  5.8458800177888239E+000                  6.2120139837447563E-001                  8.4999665454416673E-001                  1.2966454153355984E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059802E-003                  9.3393757928402418E-003                  3.4369999999999823E-001                  1.3746536936109105E-001                                        0                                        0                                        9 
                                       8                                      438                  1.6499084799999998E-004                 -4.4457312776666260E+000                  4.9099999999999583E-001                  3.2989759942683150E+001                 -1.0625932579279766E+001                  1.9218323797430821E-005                  9.3534126991206890E-001                  2.4319612167775513E-004                  9.9999998211994190E-001                  9.8208403514606391E-001                  9.3534126991206890E-001                  2.4319612167775513E-004                  9.9999998211994190E-001                  9.8208403514606391E-001                 -1.4162002786621990E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4162002786621990E+001                 -1.4162002786621990E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5934736295226464E+000                  8.5378983636906347E-001                  7.6320649559186615E-001                  2.6025578543523578E+000                 -8.1882575520801030E-003                  5.8458800316511255E+000                 -1.5877593306585887E+000                  1.2378749970018463E+001                 -1.5877593306585887E+000                  5.8458800316511255E+000                  6.2120139833819699E-001                  8.4999665454416673E-001                  1.2966454153355984E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059880E-003                  9.3393757928402401E-003                  3.4416073257059797E-003                  9.3393757928402418E-003                  3.4369999999999773E-001                  1.3746536936109091E-001                                        0                                        0                                        9 
                                       9                                      438                  2.0798901759999997E-004                 -4.3665500316190009E+000                  4.9099999999999483E-001                  3.2989759942683150E+001                 -1.0626927128819815E+001                  1.9217552191108637E-005                  9.3534126991207067E-001                  2.4319657654657041E-004                  9.9999998211994190E-001                  9.8208403514626275E-001                  9.3534126991207067E-001                  2.4319657654657041E-004                  9.9999998211994190E-001                  9.8208403514626275E-001                 -1.4162003064700352E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4162003064700352E+001                 -1.4162003064700352E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5932054308672434E+000                  8.5270362959546198E-001                  7.6319978951587075E-001                  2.6025712665043477E+000                 -7.6368139829118666E-003                  5.8458800475300965E+000                 -1.5877593041128741E+000                  1.2378750012615866E+001                 -1.5877593041128741E+000                  5.8458800475300965E+000                  6.2120139829649612E-001                  8.4999665454416684E-001                  1.2966454153355982E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059888E-003                  9.3393757928402401E-003                  3.4416073257059797E-003                  9.3393757928402436E-003                  3.4369999999999717E-001                  1.3746536936109069E-001                                        0                                        0                                        9 
