                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      9.8290000000000000E-001      2.5000000000000001E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63 
                            model_number                                num_zones                             log_star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                              effective_T                                 log_Teff                                    log_L                                   radius                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      440                 -4.9999999999999991E+000                 -4.9999999999999991E+000                  9.8289999999999833E-001                  3.3291187785627962E+001                 -9.8392421039345184E+000                  6.7058955785015553E-005                  5.3257194881109671E-001                  2.4299720812378495E-004                  9.5934559630935046E-001                  5.4787647864895561E-001                  5.3257194881109671E-001                  2.4299720812378495E-004                  9.5934559630935046E-001                  5.4787647864895561E-001                 -1.4506226093842914E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4506226093842914E+001                 -1.4506226093842914E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3441223839111335E+003                  3.6379020518267811E+000                  1.6382596455608276E+000                  1.1656939851868710E+001                  1.0665845555794780E+000                  2.2972295773219438E+000                 -7.7238020893641027E-002                  5.8458584650713297E+000                 -2.1965650001154176E+000                  1.1767480092177438E+001                 -2.1965650001154176E+000                  5.8458584650713297E+000                  6.2945911095430773E-001                  8.4249475397894957E-001                  1.3174787062353968E+000                  6.8500000000000005E-001                  2.8996913816348990E-001                  4.3020091571324658E-003                  1.1674219741050247E-002                  4.3020091571324649E-003                  1.1674219741050245E-002                  6.7328650000000068E-001                  2.8501066590089430E-001                                        0                                        0                                        9 
                                       2                                      440                 -4.6575773191777934E+000                 -4.9208187539523749E+000                  9.8289999999999667E-001                  3.3291187785627955E+001                 -9.8405071025852475E+000                  6.7057450948395858E-005                  5.3257194881109737E-001                  2.4299759291141965E-004                  9.5934559630935201E-001                  5.4787647864120648E-001                  5.3257194881109737E-001                  2.4299759291141965E-004                  9.5934559630935201E-001                  5.4787647864120648E-001                 -1.4506226178177361E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4506226178177361E+001                 -1.4506226178177361E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3405282810302515E+003                  3.6375425902438363E+000                  1.6368013696531796E+000                  1.1656665678990157E+001                  1.0665743407915431E+000                  2.2972500068978130E+000                 -7.5308958801526840E-002                  5.8458584675818983E+000                 -2.1965649872865889E+000                  1.1767480107495876E+001                 -2.1965649872865889E+000                  5.8458584675818983E+000                  6.2945911095192608E-001                  8.4249475397894957E-001                  1.3174787062353968E+000                  6.8500000000000005E-001                  2.8996913816348990E-001                  4.3020091571324658E-003                  1.1674219741050247E-002                  4.3020091571324658E-003                  1.1674219741050247E-002                  6.7328649999999934E-001                  2.8501066590089386E-001                                        0                                        0                                        5 
                                       3                                      440                 -4.4388986163509436E+000                 -4.8416375079047498E+000                  9.8289999999999456E-001                  3.3291187785627955E+001                 -9.8419755932808304E+000                  6.7055567577983298E-005                  5.3257194881109848E-001                  2.4299807332662406E-004                  9.5934559630935401E-001                  5.4787647863152866E-001                  5.3257194881109848E-001                  2.4299807332662406E-004                  9.5934559630935401E-001                  5.4787647863152866E-001                 -1.4506226277572759E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4506226277572759E+001                 -1.4506226277572759E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3363831166943428E+003                  3.6371276448670544E+000                  1.6351178003689588E+000                  1.1656346445866735E+001                  1.0665624469029962E+000                  2.2972737946749056E+000                 -7.3117651992989155E-002                  5.8458584708029093E+000                 -2.1965649725769021E+000                  1.1767480125407515E+001                 -2.1965649725769021E+000                  5.8458584708029093E+000                  6.2945911094836360E-001                  8.4249475397894957E-001                  1.3174787062353968E+000                  6.8500000000000005E-001                  2.8996913816348990E-001                  4.3020091571324658E-003                  1.1674219741050247E-002                  4.3020091571324649E-003                  1.1674219741050247E-002                  6.7328649999999823E-001                  2.8501066590089341E-001                                        0                                        0                                        9 
                                       4                                      438                 -4.2701874928390637E+000                 -4.7624562618571247E+000                  9.8289999999999211E-001                  3.3291187785627955E+001                 -9.8436710564535961E+000                  6.7053193800458967E-005                  5.3257194881109959E-001                  2.4299867715848406E-004                  9.5934559630935634E-001                  5.4787647861938660E-001                  5.3257194881109959E-001                  2.4299867715848406E-004                  9.5934559630935634E-001                  5.4787647861938660E-001                 -1.4506248333560574E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4506248333560574E+001                 -1.4506248333560574E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3316327312752301E+003                  3.6366516267293028E+000                  1.6331864262281599E+000                  1.1655980067981428E+001                  1.0665487961081004E+000                  2.2973010962646963E+000                 -6.9980586902407327E-002                  5.8459057830897843E+000                 -2.1964931575294901E+000                  1.1767599617669353E+001                 -2.1964931575294901E+000                  5.8459057830897843E+000                  6.2945901684254590E-001                  8.4249475397894957E-001                  1.3174787062353968E+000                  6.8500000000000005E-001                  2.8996913816348990E-001                  4.3020091571324658E-003                  1.1674219741050247E-002                  4.3020091571324658E-003                  1.1674219741050249E-002                  6.7328649999999712E-001                  2.8501066590089291E-001                                        0                                        0                                        9 
                                       5                                      438                 -4.1283336778325586E+000                 -4.6832750158095005E+000                  9.8289999999998923E-001                  3.3291187785627955E+001                 -9.8456160813892897E+000                  6.7050164032941869E-005                  5.3257194881110093E-001                  2.4299451712553216E-004                  9.5934559630935912E-001                  5.4787647860408395E-001                  5.3257194881110093E-001                  2.4299451712553216E-004                  9.5934559630935912E-001                  5.4787647860408395E-001                 -1.4506248466886486E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4506248466886486E+001                 -1.4506248466886486E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3262286297512655E+003                  3.6361094670253218E+000                  1.6309860335937685E+000                  1.1655553957214192E+001                  1.0665329191988664E+000                  2.2973328500831629E+000                 -6.7881379951149776E-002                  5.8459057878018399E+000                 -2.1964931391212108E+000                  1.1767599640775710E+001                 -2.1964931391212108E+000                  5.8459057878018399E+000                  6.2945901683643102E-001                  8.4249475397894957E-001                  1.3174787062353968E+000                  6.8500000000000005E-001                  2.8996913816348990E-001                  4.3020091571324658E-003                  1.1674219741050247E-002                  4.3020091571324658E-003                  1.1674219741050247E-002                  6.7328649999999524E-001                  2.8501066590089214E-001                                        0                                        0                                        6 
                                       6                                      438                 -4.0030542503665023E+000                 -4.6040937697618753E+000                  9.8289999999998579E-001                  3.3291187785627955E+001                 -9.8478323509329151E+000                  6.7046297147142200E-005                  5.3257194881110204E-001                  2.4299365659953938E-004                  9.5934559630936245E-001                  5.4787647858469934E-001                  5.3257194881110204E-001                  2.4299365659953938E-004                  9.5934559630936245E-001                  5.4787647858469934E-001                 -1.4506248622546444E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4506248622546444E+001                 -1.4506248622546444E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3201313399511246E+003                  3.6354969503679104E+000                  1.6284996141344001E+000                  1.1655066150530796E+001                  1.0665147427840060E+000                  2.2973692029128823E+000                 -6.4819454623624831E-002                  5.8459057937338761E+000                 -2.1964931183327541E+000                  1.1767599667489270E+001                 -2.1964931183327541E+000                  5.8459057937338761E+000                  6.2945901682804184E-001                  8.4249475397894957E-001                  1.3174787062353968E+000                  6.8500000000000005E-001                  2.8996913816348990E-001                  4.3020091571324658E-003                  1.1674219741050247E-002                  4.3020091571324658E-003                  1.1674219741050247E-002                  6.7328649999999257E-001                  2.8501066590089114E-001                                        0                                        0                                        9 
                                       7                                      438                 -3.8888751916221418E+000                 -4.5249125237142502E+000                  9.8289999999998157E-001                  3.3291187785627955E+001                 -9.8503369468071416E+000                  6.7041290796391711E-005                  5.3257194881110281E-001                  2.4299348046704044E-004                  9.5934559630936644E-001                  5.4787647856003208E-001                  5.3257194881110281E-001                  2.4299348046704044E-004                  9.5934559630936644E-001                  5.4787647856003208E-001                 -1.4506248803560590E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4506248803560590E+001                 -1.4506248803560590E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3133146606936252E+003                  3.6348111415260158E+000                  1.6257150516790246E+000                  1.1654511620708840E+001                  1.0664940792401070E+000                  2.2974105300006782E+000                 -6.1470197822061638E-002                  5.8459058011190290E+000                 -2.1964930949975883E+000                  1.1767599698212338E+001                 -2.1964930949975883E+000                  5.8459058011190290E+000                  6.2945901681686134E-001                  8.4249475397894957E-001                  1.3174787062353968E+000                  6.8500000000000005E-001                  2.8996913816348990E-001                  4.3020091571324658E-003                  1.1674219741050247E-002                  4.3020091571324658E-003                  1.1674219741050245E-002                  6.7328649999998968E-001                  2.8501066590089003E-001                                        0                                        0                                        9 
                                       8                                      434                 -3.7825401453214456E+000                 -4.4457312776666260E+000                  9.8289999999997646E-001                  3.3291187785627947E+001                 -9.8531421728064146E+000                  6.7034738358701690E-005                  5.3257194881110337E-001                  2.4299361941704654E-004                  9.5934559630937122E-001                  5.4787647852850607E-001                  5.3257194881110337E-001                  2.4299361941704654E-004                  9.5934559630937122E-001                  5.4787647852850607E-001                 -1.4506249538891030E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4506249538891030E+001                 -1.4506249538891030E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3057679246832440E+003                  3.6340506182079504E+000                  1.6226266158449265E+000                  1.1653889824278068E+001                  1.0664709079591890E+000                  2.2974568725625120E+000                 -5.7507550044718983E-002                  5.8459057744635308E+000                 -2.1964931232060816E+000                  1.1767599643087971E+001                 -2.1964931232060816E+000                  5.8459057744635308E+000                  6.2945901687343087E-001                  8.4249475397894957E-001                  1.3174787062353968E+000                  6.8500000000000005E-001                  2.8996913816348990E-001                  4.3020091571324658E-003                  1.1674219741050247E-002                  4.3020091571324649E-003                  1.1674219741050243E-002                  6.7328649999998569E-001                  2.8501066590088836E-001                                        0                                        0                                        8 
                                       9                                      430                 -3.6819595963912759E+000                 -4.3665500316190009E+000                  9.8289999999997058E-001                  3.3291187785627947E+001                 -9.8562537799214294E+000                  6.7026060615272233E-005                  5.3257194881110481E-001                  2.4299400709459546E-004                  9.5934559630937699E-001                  5.4787647848801491E-001                  5.3257194881110481E-001                  2.4299400709459546E-004                  9.5934559630937699E-001                  5.4787647848801491E-001                 -1.4506250721003209E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4506250721003209E+001                 -1.4506250721003209E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2975006101389963E+003                  3.6332159470181895E+000                  1.6192361389207077E+000                  1.1653194947625122E+001                  1.0664450118766013E+000                  2.2975086647276850E+000                 -5.3626203591756141E-002                  5.8459057213912420E+000                 -2.1964931916312573E+000                  1.1767599521126899E+001                 -2.1964931916312573E+000                  5.8459057213912420E+000                  6.2945901698251439E-001                  8.4249475397894957E-001                  1.3174787062353968E+000                  6.8500000000000005E-001                  2.8996913816348990E-001                  4.3020091571324658E-003                  1.1674219741050247E-002                  4.3020091571324658E-003                  1.1674219741050245E-002                  6.7328649999997980E-001                  2.8501066590088564E-001                                        0                                        0                                        9 
