                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      8.0000000000000004E-001      1.8350000000000002E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97 
                            model_number                                num_zones                             log_star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                              effective_T                                 log_Teff                                    log_L                                   radius                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters                              metallicity                                       Xc 
                                       1                                      607                 -4.9999999999999991E+000                 -4.9999999999999991E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.4013206248383785E-001                  2.4269700144395086E-004                  9.9999963222960497E-001                  9.7697167348411884E-001                  9.4013206248383785E-001                  2.4269700144395086E-004                  9.9999963222960497E-001                  9.7697167348411884E-001                                        0                  6.6109134985748975E-007                                        1                  3.5718593378678800E-005                                        0                  2.4269700144395086E-004                                        1                  9.4186351628734555E-001                                        0                  9.4354868005835479E-001                                        1                  9.5344826738353683E-001                                        0                  9.7697167348411884E-001                                        1                  1.0000000000000000E+000                 -1.6721680735318881E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6721680735318881E+001                 -1.6721680735318881E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1869882868726490E+003                  3.6219017459512517E+000                  1.6918161628469293E+000                  1.3346378155807049E+001                  1.1253634259735881E+000                  2.0902524884578924E+000                 -5.9043442864073453E-002                  5.6998378592774595E+000                 -2.4316055028031216E+000                  1.1394259288914489E+001                 -2.4316055028031216E+000                  5.6998378592774595E+000                  6.1660795857554829E-001                  8.5462983147371574E-001                  1.2845692495835404E+000                  7.0925000000000005E-001                  2.7237101115770568E-001                  3.1576747213352368E-003                  8.5882122141928228E-003                  3.1576747213352377E-003                  8.5882122141928228E-003                  5.6739999999999946E-001                  2.1789680892616448E-001                                        0                                        0                                        3                 -3.2787133862811884E-015                  7.0925000000000016E-001 
                                       2                                      607                 -4.6575773191777934E+000                 -4.9208187539523749E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.4013206248383785E-001                  2.4269916633724202E-004                  9.9999963222960497E-001                  9.7697167348408864E-001                  9.4013206248383785E-001                  2.4269916633724202E-004                  9.9999963222960497E-001                  9.7697167348408864E-001                                        0                  6.6230144540932936E-007                                        1                  3.5611278528641349E-005                                        0                  2.4269916633724202E-004                                        1                  9.4186351628756504E-001                                        0                  9.4354868006134918E-001                                        1                  9.5344826739749400E-001                                        0                  9.7697167348408864E-001                                        1                  1.0000000000000000E+000                 -1.6721680799354967E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6721680799354967E+001                 -1.6721680799354967E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1852691504814802E+003                  3.6217233922719956E+000                  1.6910890445342011E+000                  1.3346167593693963E+001                  1.1253565741757363E+000                  2.0902661920535963E+000                 -5.8319217529991023E-002                  5.6998378625909139E+000                 -2.4316054977782788E+000                  1.1394259297280112E+001                 -2.4316054977782788E+000                  5.6998378625909139E+000                  6.1660795857093609E-001                  8.5462983147371574E-001                  1.2845692495835404E+000                  7.0925000000000005E-001                  2.7237101115770568E-001                  3.1576747213352368E-003                  8.5882122141928228E-003                  3.1576747213352377E-003                  8.5882122141928228E-003                  5.6739999999999968E-001                  2.1789680892616448E-001                                        0                                        0                                        3                 -3.2787133862811884E-015                  7.0925000000000016E-001 
                                       3                                      607                 -4.4388986163509436E+000                 -4.8416375079047498E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.4013206248383785E-001                  2.4270181370274327E-004                  9.9999963222960497E-001                  9.7697167348404956E-001                  9.4013206248383785E-001                  2.4270181370274327E-004                  9.9999963222960497E-001                  9.7697167348404956E-001                                        0                  6.6376712485848194E-007                                        1                  3.5480388385430058E-005                                        0                  2.4270181370274327E-004                                        1                  9.4186351628782350E-001                                        0                  9.4354868006498138E-001                                        1                  9.5344826741041500E-001                                        0                  9.7697167348404956E-001                                        1                  1.0000000000000000E+000                 -1.6721680875359425E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6721680875359425E+001                 -1.6721680875359425E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1832486983467334E+003                  3.6215136845923390E+000                  1.6902340120248387E+000                  1.3345918649939367E+001                  1.1253484732803667E+000                  2.0902823938443356E+000                 -5.7477083511751910E-002                  5.6998378665174734E+000                 -2.4316054918236532E+000                  1.1394259307193680E+001                 -2.4316054918236532E+000                  5.6998378665174734E+000                  6.1660795856547057E-001                  8.5462983147371574E-001                  1.2845692495835404E+000                  7.0925000000000005E-001                  2.7237101115770568E-001                  3.1576747213352368E-003                  8.5882122141928228E-003                  3.1576747213352377E-003                  8.5882122141928228E-003                  5.6739999999999946E-001                  2.1789680892616448E-001                                        0                                        0                                        3                 -3.2787133862811884E-015                  7.0925000000000016E-001 
                                       4                                      607                 -4.2701874928390637E+000                 -4.7624562618571247E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.4013206248383785E-001                  2.4270506232763837E-004                  9.9999963222960497E-001                  9.7697167348399916E-001                  9.4013206248383785E-001                  2.4270506232763837E-004                  9.9999963222960497E-001                  9.7697167348399916E-001                                        0                  6.6557718718989353E-007                                        1                  3.5320003462249063E-005                                        0                  2.4270506232763837E-004                                        1                  9.4186351628812703E-001                                        0                  9.4354868006939574E-001                                        1                  9.5344826742211608E-001                                        0                  9.7697167348399916E-001                                        1                  1.0000000000000000E+000                 -1.6721680965391066E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6721680965391066E+001                 -1.6721680965391066E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1808825482894827E+003                  3.6212679672762595E+000                  1.6892320379173249E+000                  1.3345625106169383E+001                  1.1253389208587703E+000                  2.0903014986875279E+000                 -5.6500638293459977E-002                  5.6998378711604119E+000                 -2.4316054847826307E+000                  1.1394259318915937E+001                 -2.4316054847826307E+000                  5.6998378711604119E+000                  6.1660795855900796E-001                  8.5462983147371574E-001                  1.2845692495835404E+000                  7.0925000000000005E-001                  2.7237101115770568E-001                  3.1576747213352368E-003                  8.5882122141928228E-003                  3.1576747213352377E-003                  8.5882122141928228E-003                  5.6739999999999968E-001                  2.1789680892616448E-001                                        0                                        0                                        3                 -3.2787133862811884E-015                  7.0925000000000016E-001 
                                       5                                      608                 -4.1283336778325586E+000                 -4.6832750158095005E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.4013206248383785E-001                  2.4270906494283415E-004                  9.9999963222960497E-001                  9.7697167348393377E-001                  9.4013206248383785E-001                  2.4270906494283415E-004                  9.9999963222960497E-001                  9.7697167348393377E-001                                        0                  6.6784114556784787E-007                                        1                  3.5122519259372805E-005                                        0                  2.4270906494283415E-004                                        1                  9.4186351628848242E-001                                        0                  9.4354868007477199E-001                                        1                  9.5344826743247491E-001                                        0                  9.7697167348393377E-001                                        1                  1.0000000000000000E+000                 -1.6721681071823713E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6721681071823713E+001                 -1.6721681071823713E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1781479783669456E+003                  3.6209838174178959E+000                  1.6880730167445677E+000                  1.3345280606898411E+001                  1.1253277099891192E+000                  2.0903239204268305E+000                 -5.5281854918858675E-002                  5.6998378766347955E+000                 -2.4316054764807111E+000                  1.1394259332737390E+001                 -2.4316054764807111E+000                  5.6998378766347955E+000                  6.1660795855138761E-001                  8.5462983147371574E-001                  1.2845692495835404E+000                  7.0925000000000005E-001                  2.7237101115770568E-001                  3.1576747213352368E-003                  8.5882122141928228E-003                  3.1576747213352377E-003                  8.5882122141928228E-003                  5.6739999999999968E-001                  2.1789680892616448E-001                                        0                                        0                                        3                 -3.2787133862811884E-015                  7.0925000000000016E-001 
                                       6                                      608                 -4.0030542503665023E+000                 -4.6040937697618753E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.4013206248383785E-001                  2.4271402005501897E-004                  9.9999963222960497E-001                  9.7697167348384850E-001                  9.4013206248383785E-001                  2.4271402005501897E-004                  9.9999963222960497E-001                  9.7697167348384850E-001                                        0                  6.7065048880670005E-007                                        1                  3.4877131277693663E-005                                        0                  2.4271402005501897E-004                                        1                  9.4186351628889708E-001                                        0                  9.4354868008133752E-001                                        1                  9.5344826744143074E-001                                        0                  9.7697167348384850E-001                                        1                  1.0000000000000000E+000                 -1.6721681197260157E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6721681197260157E+001                 -1.6721681197260157E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1749577508951370E+003                  3.6206520849343637E+000                  1.6867197911372525E+000                  1.3344876597821374E+001                  1.1253145621525242E+000                  2.0903502161000200E+000                 -5.4054588510170441E-002                  5.6998378830745295E+000                 -2.4316054667148181E+000                  1.1394259348996130E+001                 -2.4316054667148181E+000                  5.6998378830745295E+000                  6.1660795854242434E-001                  8.5462983147371574E-001                  1.2845692495835404E+000                  7.0925000000000005E-001                  2.7237101115770568E-001                  3.1576747213352368E-003                  8.5882122141928228E-003                  3.1576747213352377E-003                  8.5882122141928228E-003                  5.6739999999999968E-001                  2.1789680892616448E-001                                        0                                        0                                        3                 -3.2787133862811884E-015                  7.0925000000000016E-001 
                                       7                                      608                 -3.8888751916221418E+000                 -4.5249125237142502E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.4013206248383785E-001                  2.4272018776016918E-004                  9.9999963222960497E-001                  9.7697167348373681E-001                  9.4013206248383785E-001                  2.4272018776016918E-004                  9.9999963222960497E-001                  9.7697167348373681E-001                                        0                  6.7414375554486214E-007                                        1                  3.4575197199558576E-005                                        0                  2.4272018776016918E-004                                        1                  9.4186351628937937E-001                                        0                  9.4354868008937520E-001                                        1                  9.5344826744897271E-001                                        0                  9.7697167348373681E-001                                        1                  1.0000000000000000E+000                 -1.6721681344656428E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6721681344656428E+001                 -1.6721681344656428E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1712633761547722E+003                  3.6202676123343247E+000                  1.6851512060905303E+000                  1.3344405017994641E+001                  1.1252992148292433E+000                  2.0903809107465823E+000                 -5.2611543630806792E-002                  5.6998378906249023E+000                 -2.4316054552646027E+000                  1.1394259368058988E+001                 -2.4316054552646027E+000                  5.6998378906249023E+000                  6.1660795853191430E-001                  8.5462983147371574E-001                  1.2845692495835404E+000                  7.0925000000000005E-001                  2.7237101115770568E-001                  3.1576747213352368E-003                  8.5882122141928228E-003                  3.1576747213352377E-003                  8.5882122141928228E-003                  5.6739999999999968E-001                  2.1789680892616448E-001                                        0                                        0                                        4                 -3.2787133862811884E-015                  7.0925000000000016E-001 
                                       8                                      608                 -3.7825401453214456E+000                 -4.4457312776666260E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.4013206248383785E-001                  2.4272791310321620E-004                  9.9999963222960497E-001                  9.7697167348359015E-001                  9.4013206248383785E-001                  2.4272791310321620E-004                  9.9999963222960497E-001                  9.7697167348359015E-001                                        0                  6.7854620013451945E-007                                        1                  3.4198121537817957E-005                                        0                  2.4272791310321620E-004                                        1                  9.4186351628993814E-001                                        0                  9.4354868009924464E-001                                        1                  9.5344826745513034E-001                                        0                  9.7697167348359015E-001                                        1                  1.0000000000000000E+000                 -1.6721681517282761E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6721681517282761E+001                 -1.6721681517282761E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1670239622089739E+003                  3.6198259978475371E+000                  1.6833491064975601E+000                  1.3343857455431591E+001                  1.1252813940063329E+000                  2.0904165523924028E+000                 -5.0943024729339863E-002                  5.6998378994447547E+000                 -2.4316054418891717E+000                  1.1394259390327015E+001                 -2.4316054418891717E+000                  5.6998378994447547E+000                  6.1660795851963779E-001                  8.5462983147371574E-001                  1.2845692495835404E+000                  7.0925000000000005E-001                  2.7237101115770568E-001                  3.1576747213352368E-003                  8.5882122141928228E-003                  3.1576747213352377E-003                  8.5882122141928228E-003                  5.6739999999999968E-001                  2.1789680892616448E-001                                        0                                        0                                        4                 -3.2787133862811884E-015                  7.0925000000000016E-001 
                                       9                                      608                 -3.6819595963912759E+000                 -4.3665500316190009E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.4013206248383785E-001                  2.4273765886006699E-004                  9.9999963222960497E-001                  9.7697167348339742E-001                  9.4013206248383785E-001                  2.4273765886006699E-004                  9.9999963222960497E-001                  9.7697167348339742E-001                                        0                  6.8413685939015844E-007                                        1                  3.3728073748403881E-005                                        0                  2.4273765886006699E-004                                        1                  9.4186351629058340E-001                                        0                  9.4354868011139714E-001                                        1                  9.5344826745995470E-001                                        0                  9.7697167348339742E-001                                        1                  1.0000000000000000E+000                 -1.6721681718685343E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6721681718685343E+001                 -1.6721681718685343E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1621991715911872E+003                  3.6193228584448947E+000                  1.6812953907500268E+000                  1.3343225170975128E+001                  1.1252608149378500E+000                  2.0904577105293685E+000                 -4.9060688886121910E-002                  5.6998379097065071E+000                 -2.4316054263270308E+000                  1.1394259416235538E+001                 -2.4316054263270308E+000                  5.6998379097065071E+000                  6.1660795850535421E-001                  8.5462983147371574E-001                  1.2845692495835404E+000                  7.0925000000000005E-001                  2.7237101115770568E-001                  3.1576747213352368E-003                  8.5882122141928228E-003                  3.1576747213352377E-003                  8.5882122141928228E-003                  5.6739999999999968E-001                  2.1789680892616448E-001                                        0                                        0                                        4                 -3.2787133862811884E-015                  7.0925000000000016E-001 
