                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63 
                            model_number                                 star_age                                star_mass                                   log_dt                                num_zones                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                             tau10_radius                                tau10_lgP                                  tau10_T                              tau10_lgRho                                  tau10_L                            tau100_radius                               tau100_lgP                                 tau100_T                               tau100_lgT                             tau100_lgRho                                 tau100_L                             kh_timescale                                   log_LH                                  log_LHe                                 delta_nu                                 delta_Pg                                    log_L                                 log_Teff                              effective_T                                radius_cm                                 log_R_cm                                    log_g                             log_center_T                           log_center_Rho                             log_center_P                           log_average_h1                           log_average_h2                          log_average_he3                          log_average_he4                          log_average_li7                              num_retries                              num_backups                                     chi2                                 delta_nu                           delta_nu_model                             correction_r                                  a_div_r 
                                       1                  5.0000000000000000E+004                  1.0000000000000000E+000                  4.6989700043360187E+000                                     1534                  1.4745324276248306E-002                  7.8129685049395396E-008                  9.9999999996556233E-001                  9.9340105687676228E-001                  5.7823759624995086E-002                  7.8129685049395396E-008                  1.0000000000000000E+000                  9.8312155388190003E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1101703654869537E+000                  5.2374054289520915E+000                  8.2055862030769167E+003                 -6.5622449501402764E+000                  1.5368507709400505E+000                  1.1100199841196050E+000                  5.3836128014348725E+000                  9.5240183410591872E+003                  3.9788202230844942E+000                 -6.4894611975949017E+000                  1.5368507709410968E+000                  1.3756414094182253E+007                 -9.7758957707122229E-001                 -5.5533277789566782E+001                  1.2037760148373836E+002                  0.0000000000000000E+000                  1.8663169931185461E-001                  3.7855660434358267E+000                  6.1033186313935366E+003                  7.7275061423365799E+010                  1.0888039358941660E+001                  4.3470041549393255E+000                  7.0123550365656842E+000                  1.7058886163145583E+000                  1.6909941288140640E+001                 -4.5857135078321641E-002                 -9.8999999999999986E+001                 -4.9935518528060472E+000                 -1.0000434315274056E+000                 -9.8999999999999986E+001                                        1                                        0                 -1.0000000000000000E+000                  1.5950000000000000E+002                  1.2037760148373836E+002                 -1.0000000000000000E+000                 -1.0000000000000000E+000 
                                       2                  9.0000000000000000E+004                  1.0000000000000000E+000                  4.6020599913279616E+000                                     1001                  1.0000000000000000E+000                  9.9275182252999106E-001                  1.5211441635699208E-002                  1.0528461292058786E-002                  1.9952526230700540E-002                  9.2641975486575546E-004                  1.0000000000000000E+000                  9.8351005587489848E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1535258139882338E+000                  5.1562320500185397E+000                  8.3993105975713806E+003                 -6.6548398291652884E+000                  1.7764954255603602E+000                  1.1533616224364671E+000                  5.3002361307290791E+000                  9.6995707827834685E+003                  3.9867525166587225E+000                 -6.5843462887874038E+000                  1.7764954255734842E+000                  1.1453347030706698E+007                 -9.6843540006780349E-001                 -5.5486642892941738E+001                  1.1323317822815362E+002                  0.0000000000000000E+000                  2.4956409352591544E-001                  3.7929789287910682E+000                  6.2083891148082203E+003                  8.0293388345646210E+010                  1.0904679785338208E+001                  4.3137233021462285E+000                  7.0129561756099097E+000                  1.7100433486490996E+000                  1.6914735055240858E+001                 -4.5857194072629441E-002                 -9.8999999999999986E+001                 -4.9883540082123385E+000                 -1.0000434314375575E+000                 -9.8999999999999986E+001                                        1                                        0                 -1.0000000000000000E+000                  1.5950000000000000E+002                  1.1323317822815362E+002                 -1.0000000000000000E+000                 -1.0000000000000000E+000 
                                       3                  1.2200000000000000E+005                  1.0000000000000000E+000                  4.5051499783199054E+000                                      975                  1.0000000000000000E+000                  9.9620804847051370E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9095256275989418E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1677095913270077E+000                  5.1238113335041575E+000                  8.4796056550484973E+003                 -6.6920316543520757E+000                  1.8751818022279672E+000                  1.1675408100345965E+000                  5.2666906444901747E+000                  9.7708106431077122E+003                  3.9899305968020577E+000                 -6.6227768442968848E+000                  1.8751818022350268E+000                  1.0718761278001500E+007                 -9.6099928282748670E-001                 -5.5447595200165900E+001                  1.1094084098823542E+002                  0.0000000000000000E+000                  2.7304337973068771E-001                  3.7961944828705758E+000                  6.2545271615338734E+003                  8.1280865656355087E+010                  1.0909988320281579E+001                  4.3031062322594877E+000                  7.0135535200086814E+000                  1.7134875178428179E+000                  1.6918807432523266E+001                 -4.5857242080991005E-002                 -9.8999999999999986E+001                 -4.9841696485658380E+000                 -1.0000434313538273E+000                 -9.8999999999999986E+001                                        1                                        0                 -1.0000000000000000E+000                  1.5950000000000000E+002                  1.1094084098823542E+002                 -1.0000000000000000E+000                 -1.0000000000000000E+000 
                                       4                  1.4760000000000000E+005                  1.0000000000000000E+000                  4.4082399653118491E+000                                      967                  1.0000000000000000E+000                  9.9724453059864171E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9349622625227396E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1668089983550736E+000                  5.1165669763850428E+000                  8.5005863451516307E+003                 -6.7005284750839964E+000                  1.8893061817530707E+000                  1.1666401295293753E+000                  5.2592972162897027E+000                  9.7901588714646532E+003                  3.9907897394477345E+000                 -6.6314987971093542E+000                  1.8893061817556709E+000                  1.0646838364799874E+007                 -9.5503545920018929E-001                 -5.5415979324155188E+001                  1.1096492958726989E+002                  0.0000000000000000E+000                  2.7630234557135763E-001                  3.7971767383461081E+000                  6.2686892026302194E+003                  8.1218187292625473E+010                  1.0909653292250850E+001                  4.3037762883209458E+000                  7.0139792634138987E+000                  1.7161299504391370E+000                  1.6921899664060650E+001                 -4.5857281017051527E-002                 -9.8999999999999986E+001                 -4.9808054550135319E+000                 -1.0000434312784050E+000                 -9.8999999999999986E+001                                        1                                        0                 -1.0000000000000000E+000                  1.5950000000000000E+002                  1.1096492958726989E+002                 -1.0000000000000000E+000                 -1.0000000000000000E+000 
                                       5                  1.6872002202792247E+005                  1.0000000000000000E+000                  4.3246943668257982E+000                                      966                  1.0000000000000000E+000                  9.9750709897395817E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9411140627415640E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1612217768987658E+000                  5.1185446543089128E+000                  8.5039536978122887E+003                 -6.6987303452395039E+000                  1.8736835042603899E+000                  1.1610542641491519E+000                  5.2614398833061431E+000                  9.7931205621176214E+003                  3.9909211010944756E+000                 -6.6294935642605894E+000                  1.8736835042607689E+000                  1.0787269599102579E+007                 -9.5016247107677720E-001                 -5.5390136919243190E+001                  1.1172126608801457E+002                  0.0000000000000000E+000                  2.7269623331717519E-001                  3.7973175901739089E+000                  6.2707226144419001E+003                  8.0829246908777756E+010                  1.0907568532468154E+001                  4.3079458078863349E+000                  7.0143190411291956E+000                  1.7182698600713910E+000                  1.6924398943656165E+001                 -4.5857313500618190E-002                 -9.8999999999999986E+001                 -4.9780186336825087E+000                 -1.0000434312099409E+000                 -9.8999999999999986E+001                                        1                                        0                 -1.0000000000000000E+000                  1.5950000000000000E+002                  1.1172126608801457E+002                 -1.0000000000000000E+000                 -1.0000000000000000E+000 
                                       6                  1.9338275967583936E+005                  1.0000000000000000E+000                  4.3920412831028894E+000                                      966                  1.0000000000000000E+000                  9.9754040461129612E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9400982399344617E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1522277464348780E+000                  5.1252825222781295E+000                  8.4985857663064089E+003                 -6.6916396676337309E+000                  1.8408551026277955E+000                  1.1520624651429430E+000                  5.2686129316982475E+000                  9.7889526277969981E+003                  3.9907362268080648E+000                 -6.6219206367698220E+000                  1.8408551026270832E+000                  1.1065354460089171E+007                 -9.4457629646874364E-001                 -5.5360457080725880E+001                  1.1300510994550238E+002                  0.0000000000000000E+000                  2.6501960566558291E-001                  3.7970870181745888E+000                  6.2673942983604693E+003                  8.0203138363811188E+010                  1.0904191362640999E+001                  4.3147001475406457E+000                  7.0147110853943424E+000                  1.7207314432143055E+000                  1.6927275170560762E+001                 -4.5857351922374653E-002                 -9.8999999999999986E+001                 -4.9747453631315954E+000                 -1.0000434311208011E+000                 -9.8999999999999986E+001                                        1                                        0                 -1.0000000000000000E+000                  1.5950000000000000E+002                  1.1300510994550238E+002                 -1.0000000000000000E+000                 -1.0000000000000000E+000 
                                       7                  2.1956425136920356E+005                  1.0000000000000000E+000                  4.4179943868954554E+000                                      966                  1.0000000000000000E+000                  9.9747607378384073E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9384184389964458E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1420963375418225E+000                  5.1335262791403604E+000                  8.4823591803666550E+003                 -6.6824187245541866E+000                  1.8018872725669191E+000                  1.1419330242268029E+000                  5.2779484565263965E+000                  9.7817016851928547E+003                  3.9904144139084750E+000                 -6.6119557460214891E+000                  1.8018872725658082E+000                  1.1404952831662515E+007                 -9.3876865184770675E-001                 -5.5329562876935590E+001                  1.1449630180125310E+002                  0.0000000000000000E+000                  2.5572761770116764E-001                  3.7966821087459155E+000                  6.2615536890327439E+003                  7.9497814138459290E+010                  1.0900355187516139E+001                  4.3223724977903659E+000                  7.0151206783089579E+000                  1.7233021508725139E+000                  1.6930279147460986E+001                 -4.5857393257159901E-002                 -9.8999999999999986E+001                 -4.9712513481953078E+000                 -1.0000434310149231E+000                 -9.8999999999999986E+001                                        1                                        0                 -1.0000000000000000E+000                  1.5950000000000000E+002                  1.1449630180125310E+002                 -1.0000000000000000E+000                 -1.0000000000000000E+000 
                                       8                  2.4520876662821270E+005                  1.0000000000000000E+000                  4.4089944943034238E+000                                      966                  1.0000000000000000E+000                  9.9736817338051453E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9359489554152436E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1324182495034707E+000                  5.1419228873471416E+000                  8.4670799678690037E+003                 -6.6730986030407147E+000                  1.7643701522583770E+000                  1.1322570963285821E+000                  5.2871501246667663E+000                  9.7722482982177280E+003                  3.9899944932150158E+000                 -6.6020076920275423E+000                  1.7643701522571811E+000                  1.1747022938184183E+007                 -9.3319349026692311E-001                 -5.5299866268344097E+001                  1.1595637968128447E+002                  0.0000000000000000E+000                  2.4658970223555110E-001                  3.7962458338068608E+000                  6.2552667399254815E+003                  7.8824056242878494E+010                  1.0896658779661442E+001                  4.3297653134997622E+000                  7.0155155519722374E+000                  1.7257808763141933E+000                  1.6933175646461304E+001                 -4.5857434265063328E-002                 -9.8999999999999986E+001                 -4.9678126194046319E+000                 -1.0000434308995032E+000                 -9.8999999999999986E+001                                        1                                        0                 -1.0000000000000000E+000                  1.5950000000000000E+002                  1.1595637968128447E+002                 -1.0000000000000000E+000                 -1.0000000000000000E+000 
                                       9                  2.7012518632216437E+005                  1.0000000000000000E+000                  4.3964856375509624E+000                                      966                  1.0000000000000000E+000                  9.9724656296217562E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9350160506585683E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1234904393706489E+000                  5.1499294908212754E+000                  8.4533415890709166E+003                 -6.6642605934180672E+000                  1.7298938181330201E+000                  1.1233314102789822E+000                  5.2957776370938898E+000                  9.7624434846384920E+003                  3.9895585327362468E+000                 -6.5926328169657307E+000                  1.7298938181318435E+000                  1.2076359112534031E+007                 -9.2787745228116558E-001                 -5.5271503029687985E+001                  1.1733278617121027E+002                  0.0000000000000000E+000                  2.3801944670458339E-001                  3.7958222433030344E+000                  6.2491686200149306E+003                  7.8202535288096436E+010                  1.0893220832903609E+001                  4.3366412070154263E+000                  7.0158936103864598E+000                  1.7281539876633483E+000                  1.6935948802594996E+001                 -4.5857474597131055E-002                 -9.8999999999999986E+001                 -4.9644570137740205E+000                 -1.0000434307754094E+000                 -9.8999999999999986E+001                                        1                                        0                 -1.0000000000000000E+000                  1.5950000000000000E+002                  1.1733278617121027E+002                 -1.0000000000000000E+000                 -1.0000000000000000E+000 
