           6  samples
  sample                      chi2                      mass                    init_Y                  init_FeH                     alpha                      f_ov                       age    model_number                   init_h1                  init_he3                  init_he4                    init_Z                log_radius                      logL                      Teff                      logg                      Fe_H                      logR           surface_Z_div_X                surface_He                       Rcz                csound_rms                   my_var1                   my_var2                   my_var3                  delta_nu                   a_div_r              correction_r               chi2_seismo              chi2_spectro                 nl0                 nl1                 nl2                 nl3            ratios_n     ratios_l0_first     ratios_l1_first
       4    5.5888485874296646E+02    1.2000000000000000E+00    2.5000000000000000E-01   -1.7500000000000000E+00    2.0000000000000000E+00    1.0000000000000001E-01    4.0949715765277553E+09             290    7.4969430504846957E-01    2.5000000000000001E-05    2.4997500000000000E-01    3.0569495153041692E-04    6.5865731660241200E-01    1.5261727014200637E+00    6.5139427196897568E+03    3.1997559662559261E+00   -1.7500000000004499E+00    6.5865731660241200E-01    4.0775946872150242E-04    2.5000000000000017E-01    0.0000000000000000E+00    0.0000000000000000E+00    2.4001486151412378E+03    0.0000000000000000E+00    0.0000000000000000E+00    1.6425455396724505E+01   -1.0000000000000000E+00   -1.0000000000000000E+00    0.0000000000000000E+00    5.5888485874296646E+02                   0                   0                   0                   0                   0                   0                   0     initial
       1    6.6178479848954885E+02    1.2000000000000000E+00    2.5000000000000000E-01   -2.0000000000000000E+00    2.0000000000000000E+00    1.0000000000000001E-01    4.0213843236526847E+09             274    7.4982806442482741E-01    2.5000000000000001E-05    2.4997500000000000E-01    1.7193557517261292E-04    6.1894700684617754E-01    1.5522058843178399E+00    6.9216141545505570E+03    3.2791765857683948E+00   -2.0000000000003428E+00    6.1894700684617754E-01    2.2929999999981885E-04    2.4999999999999986E-01    0.0000000000000000E+00    0.0000000000000000E+00    2.3114253630443477E+03    0.0000000000000000E+00    0.0000000000000000E+00    1.8355620430065891E+01   -1.0000000000000000E+00   -1.0000000000000000E+00    0.0000000000000000E+00    6.6178479848954885E+02                   0                   0                   0                   0                   0                   0                   0     initial
       6    9.7420609601611829E+02    1.2000000000000000E+00    2.5000000000000000E-01   -2.0000000000000000E+00    2.0000000000000000E+00    3.4999999999999998E-01    1.1440337677912097E+08              83    7.4982806442482741E-01    2.5000000000000001E-05    2.4997500000000000E-01    1.7193557517261292E-04   -4.0300186924253065E-02    5.8699950865793504E-01    8.4826078260126178E+03    4.5976709733092562E+00   -2.0000000000006231E+00   -4.0300186924253065E-02    2.2929999999967085E-04    2.5000000000000017E-01    0.0000000000000000E+00    0.0000000000000000E+00    0.0000000000000000E+00    0.0000000000000000E+00    0.0000000000000000E+00    1.5733768952149964E+02   -1.0000000000000000E+00   -1.0000000000000000E+00    0.0000000000000000E+00    9.7420609601611829E+02                   0                   0                   0                   0                   0                   0                   0     initial
       5    1.0210914010060316E+03    1.2000000000000000E+00    2.5000000000000000E-01   -2.0000000000000000E+00    4.5000000000000000E+00    1.0000000000000001E-01    1.0482375501737227E+08              90    7.4982806442482741E-01    2.5000000000000001E-05    2.4997500000000000E-01    1.7193557517261292E-04   -4.0333960512790493E-02    5.9944711563962350E-01    8.5439397548655270E+03    4.5977385204863310E+00   -2.0000000000006231E+00   -4.0333960512790493E-02    2.2929999999967085E-04    2.5000000000000017E-01    0.0000000000000000E+00    0.0000000000000000E+00    0.0000000000000000E+00    0.0000000000000000E+00    0.0000000000000000E+00    1.5870088812515758E+02   -1.0000000000000000E+00   -1.0000000000000000E+00    0.0000000000000000E+00    1.0210914010060316E+03                   0                   0                   0                   0                   0                   0                   0     initial
       3    6.8276118829022371E+03    1.2000000000000000E+00    5.0000000000000000E-01   -2.0000000000000000E+00    2.0000000000000000E+00    1.0000000000000001E-01    8.9130354690994990E+08             166    4.9988537628321827E-01    5.0000000000000002E-05    4.9995000000000001E-01    1.1462371678174194E-04    3.1197606979042203E-01    1.9684489859557592E+00    1.2524304842122785E+04    3.8931184598799060E+00   -2.0000000000000622E+00    3.1197606979042203E-01    2.2929999999996714E-04    5.0000000000000033E-01    0.0000000000000000E+00    0.0000000000000000E+00    6.9635657568419956E+03    0.0000000000000000E+00    0.0000000000000000E+00    4.8267503574583309E+01   -1.0000000000000000E+00   -1.0000000000000000E+00    0.0000000000000000E+00    6.8276118829022371E+03                   0                   0                   0                   0                   0                   0                   0     initial
       2    1.1281992961810980E+04    3.7000000000000002E+00    2.5000000000000000E-01   -2.0000000000000000E+00    2.0000000000000000E+00    1.0000000000000001E-01    2.2814713150025994E+08             311    7.4982806442482741E-01    2.5000000000000001E-05    2.4997500000000000E-01    1.7193557517261292E-04    9.7772861613412398E-01    3.4802321115867421E+00    1.3893867025963917E+04    3.0506338452118724E+00   -2.0000000000006231E+00    9.7772861613412398E-01    2.2929999999967083E-04    2.5000000000000017E-01    0.0000000000000000E+00    0.0000000000000000E+00    5.0351543372412953E+03    0.0000000000000000E+00    0.0000000000000000E+00    8.8358152041446800E+00   -1.0000000000000000E+00   -1.0000000000000000E+00    0.0000000000000000E+00    1.1281992961810980E+04                   0                   0                   0                   0                   0                   0                   0     initial
  sample                      chi2                      mass                    init_Y                  init_FeH                     alpha                      f_ov                       age    model_number                   init_h1                  init_he3                  init_he4                    init_Z                log_radius                      logL                      Teff                      logg                      Fe_H                      logR           surface_Z_div_X                surface_He                       Rcz                csound_rms                   my_var1                   my_var2                   my_var3                  delta_nu                   a_div_r              correction_r               chi2_seismo              chi2_spectro                 nl0                 nl1                 nl2                 nl3            ratios_n     ratios_l0_first     ratios_l1_first



