                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134 
                            model_number                                num_zones                                 star_age                             star_age_sec                             star_age_min                              star_age_hr                             star_age_day                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                          mix_relr_type_1                           mix_relr_top_1                          mix_relr_type_2                           mix_relr_top_2                          mix_relr_type_3                           mix_relr_top_3                          mix_relr_type_4                           mix_relr_top_4                          mix_relr_type_5                           mix_relr_top_5                          mix_relr_type_6                           mix_relr_top_6                          mix_relr_type_7                           mix_relr_top_7                          mix_relr_type_8                           mix_relr_top_8                          mix_relr_type_9                           mix_relr_top_9                         mix_relr_type_10                          mix_relr_top_10                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters                        R_Engulfed_Planet                         Orbital_velocity                      Log_Infall_distance                      Log_Injected_energy                   Log_Destruction_factor                        Engulfed_fraction                      Total_mass_affected                              Planet_mass                            Planet_radius 
                                       1                                     1281                  1.5000000000000000E+001                  4.7337224975999999E+008                  7.8895374960000003E+006                  1.3149229160000000E+005                  5.4788454833333335E+003                  1.1760912590556811E+000                  9.9400905578620258E-001                  3.3296068791557154E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999420149999E-001                  2.5305811535744899E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999420149999E-001                  2.5305811535744899E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                  2.5305811535744899E-001                                        1                  9.9999999445377541E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        0                  1.2852266866995543E-001                                        1                  9.9944973568605966E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  8.5126557142664383E-001                 -2.2798798298375946E+001                 -1.4010107098040834E+001                  8.5126557142664450E-001                 -7.8629023724009872E-001                  8.4114325685613167E-001                 -2.2798798298375946E+001                  3.5793869644224042E+032                  3.6006992207360154E+032                  3.6650921590467110E+032                  3.7142951714422799E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        0                  1.7986166121787525E-001                                        1                  1.8054312622846991E-001                                        2                  1.8123235179306543E-001                                        3                  1.8206501429201208E-001                                        4                  1.8534789466997334E-001                                        3                  1.8714469632125039E-001                                        2                  1.8986556739318192E-001                                        1                  1.9666863095711021E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.8102202337489487E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6796677198276360E+000                  8.7718931337358286E-001                  6.0251805348414600E-001                  3.2302435874418065E+000                  6.4550583795951321E-007                  7.4554921993955308E+000                  4.9102601269083666E+000                  2.0712229034741121E+001                  4.9102601269083666E+000                  7.4554921993955308E+000                  1.3400553785398956E+000                  4.9999263511642389E-001                  4.0609931669864672E+000                  0.0000000000000000E+000                  9.8010386989120979E-001                  5.4322051568427553E-005                  3.9903291057419429E-003                  3.0468563065529633E-003                  9.3376437647956483E-003                  5.4106093041771708E-001                  4.3197545132489956E-001                                        0                                        0                                        6                  4.0011427930561503E+000                  2.1502342818891731E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.0525478325195783E+000                  0.0000000000000000E+000                  9.9400905578620753E-013                  1.0000000000000000E-003                  1.0000000000000001E-001 
                                       5                                      859                  9.6071999999999989E+001                  3.0318545852628479E+009                  5.0530909754380800E+007                  8.4218182923967997E+005                  3.5090909551653334E+004                  1.1917862475821992E+000                  9.9400905578620258E-001                  3.3296068791557154E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999388900007E-001                  2.5884142855114817E-001                  2.5388194556969074E-001                  2.5321803117803066E-001                  9.9999999388900007E-001                  2.5884142855114817E-001                  2.5388194556969074E-001                  2.5321803117803066E-001                                        0                  2.5321803117803066E-001                                        1                  2.5390716090467180E-001                                        0                  2.5884142855114817E-001                                        1                  9.9999999447149612E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        0                  1.2913433096059351E-001                                        1                  1.3029534070311063E-001                                        0                  1.3863433411758735E-001                                        1                  9.9944558079499901E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  8.5108334779274253E-001                 -2.2799761239323310E+001                 -9.8999999999999986E+001                  8.5108334779274242E-001                 -7.8580963543352289E-001                  8.4094539076590491E-001                 -2.2799761239323310E+001                  3.5797762721196856E+032                  3.6010872158749905E+032                  3.6654684910520497E+032                  3.7142786310294758E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        0                  1.7991353389074699E-001                                        1                  1.8054026842824911E-001                                        2                  1.8125224116027500E-001                                        3                  1.8206501429200936E-001                                        4                  1.8532222607495127E-001                                        3                  1.8714469632124572E-001                                        2                  1.8978983296328533E-001                                        1                  1.9663971723169957E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.8097427294810173E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6831831785369809E+000                  8.9140594447727073E-001                  6.0259545161730077E-001                  3.2300887911754970E+000                  4.3876690397540458E-008                  7.4557613787415633E+000                  4.9106830859191080E+000                  2.0712924917304296E+001                  4.9106830859191080E+000                  7.4557613787415633E+000                  1.3400553785398954E+000                  4.9999263511642400E-001                  4.0609931669864672E+000                  0.0000000000000000E+000                  9.8010386989120990E-001                  5.4322051568427560E-005                  3.9903291057419438E-003                  3.0433522916871953E-003                  9.3376425344356053E-003                  5.4114147595633222E-001                  4.3189462455881672E-001                                        0                                        0                                        6                  3.9735629254002340E+000                  2.1526925718834295E+002                  9.1031100747961275E+000                  4.2312213364813090E+001                 -5.4596258095398298E+000                  2.7375389492160888E-002                  7.7256827244349003E-008                  1.0000000000000000E-003                  1.0000000000000001E-001 
                                      10                                      924                  9.6083923523999999E+001                  3.0322308696215777E+009                  5.0537181160359628E+007                  8.4228635267266049E+005                  3.5095264694694190E+004                 -2.9508812559865318E+000                  9.9400905578620258E-001                  3.3296068791557154E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999436783275530E-001                  2.6903442821169277E-001                  9.9999999875228140E-001                  9.9999895325769894E-001                  9.9999436783275530E-001                  2.6903442821169277E-001                  9.9999999875228140E-001                  9.9999895325769894E-001                                        0                  2.6903442821169277E-001                                        1                  9.9999441232962916E-001                                        0                  9.9999469395719476E-001                                        1                  9.9999488370528222E-001                                        0                  9.9999895325769894E-001                                        1                  9.9999999892066616E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        0                  1.4220535619712008E-001                                        1                  9.0666229838208812E-001                                        0                  9.0721198115240964E-001                                        1                  9.0772316764070260E-001                                        0                  9.4975586523706301E-001                                        1                  9.9969289209651413E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  8.5108597118682394E-001                 -2.2799760973157618E+001                 -1.4449439791871097E+001                  8.5108597118682416E-001                 -7.8580651781891342E-001                  8.4094800248742929E-001                 -2.2799760973157618E+001                  3.5797762498085713E+032                  3.6010871818374323E+032                  3.6654686187075518E+032                  3.7142788550074889E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        0                  1.7991353293720802E-001                                        1                  1.8054026736365397E-001                                        2                  1.8125223987029818E-001                                        3                  1.8206501429200875E-001                                        4                  1.8532222607495066E-001                                        3                  1.8714469632124511E-001                                        2                  1.8978985244033958E-001                                        1                  1.9663987569746072E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.8097427294810112E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7873855538569305E+000                  1.3805734949312856E+000                  6.3877447620440808E-001                  3.1577307420012821E+000                  1.0677438719152961E-001                  7.4557613830621774E+000                  4.9106830927172478E+000                  2.0712924928488182E+001                  4.9106830927172478E+000                  7.4557613830621774E+000                  1.3400553785398956E+000                  4.9999263511642406E-001                  4.0609931669864672E+000                  1.0000000000000000E-099                  9.8010386989120979E-001                  5.4322051568427553E-005                  3.9903291057419438E-003                  3.0370541340219289E-003                  9.3376404901053048E-003                  5.4114188868973834E-001                  4.3189421039831377E-001                                        6                                        1                                       17                  3.9441238632959381E+000                  2.1652213163658712E+002                  7.4795351220311321E+000                  4.0698720411379959E+001                 -4.4956112342340493E+000                  1.0000000000000000E+000                  5.3156870128855633E-006                  1.0000000000000000E-003                  1.0000000000000001E-001 
                                      15                                      971                  9.6087169719238091E+001                  3.0323333135377789E+009                  5.0538888558962978E+007                  8.4231480931604968E+005                  3.5096450388168734E+004                 -3.3438018572729558E+000                  9.9400905578620258E-001                  3.3296068791557154E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999323953296659E-001                  2.8532735380481716E-001                  2.6453546331015926E-001                  2.5921281399388940E-001                  9.9999323953296659E-001                  2.8532735380481716E-001                  2.6453546331015926E-001                  2.5921281399388940E-001                                        0                  2.5921281399388940E-001                                        1                  2.6711360077744600E-001                                        0                  2.8532735380481716E-001                                        1                  9.9999337711150027E-001                                        0                  9.9999364628279153E-001                                        1                  9.9999371768756617E-001                                        0                  9.9999970990221132E-001                                        1                  9.9999999899882175E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        0                  1.2370488457391787E-001                                        1                  1.3474339745095698E-001                                        0                  1.5738264734260074E-001                                        1                  8.7451076089080304E-001                                        0                  8.7474381823798320E-001                                        1                  8.7481829930203137E-001                                        0                  9.5881597515543548E-001                                        1                  9.9964568669974418E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  8.5108499907890489E-001                 -2.2799761070801718E+001                 -9.8999999999999986E+001                  8.5108499907890467E-001                 -7.8580761776550256E-001                  8.4094703339881982E-001                 -2.2799761070801718E+001                  3.5797762586931213E+032                  3.6010871970051552E+032                  3.6654685697580730E+032                  3.7142787720228435E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        0                  1.7991353329385121E-001                                        1                  1.8054026776872928E-001                                        2                  1.8125224040551696E-001                                        3                  1.8206501429200847E-001                                        4                  1.8532222607495039E-001                                        3                  1.8714469632124484E-001                                        2                  1.8978984521789879E-001                                        1                  1.9663981668534952E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.8097427294810087E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8022512504163726E+000                  1.4705854794615381E+000                  6.5404907535065004E-001                  3.1271815437087982E+000                  2.6148227209553454E-001                  7.4557613814771688E+000                  4.9106830902299556E+000                  2.0712924924395629E+001                  4.9106830902299556E+000                  7.4557613814771688E+000                  1.3400553785398954E+000                  4.9999263511642400E-001                  4.0609931669864672E+000                  1.0000000000000000E-099                  9.8010386989121001E-001                  5.4322051568427560E-005                  3.9903291057419438E-003                  3.0369664971589597E-003                  9.3376404616815692E-003                  5.4114271449529561E-001                  4.3189338173739533E-001                                        6                                        1                                        6                  3.9430001778123818E+000                  2.1655958950954667E+002                  7.0318809185418134E+000                  4.0251367082914122E+001                 -4.5501190869464825E+000                  1.0000000000000000E+000                  5.1890499385436964E-006                  1.0000000000000000E-003                  1.0000000000000001E-001 
                                      20                                      991                  9.6087634729226266E+001                  3.0323479883927298E+009                  5.0539133139878832E+007                  8.4231888566464721E+005                  3.5096620236026967E+004                 -4.1999616477786903E+000                  9.9400905578620258E-001                  3.3296068791557154E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999323953296548E-001                  2.8857614903045470E-001                  9.9999995635829964E-001                  9.9999986336646451E-001                  9.9999323953296548E-001                  2.8857614903045470E-001                  9.9999995635829964E-001                  9.9999986336646451E-001                                        0                  2.8857614903045470E-001                                        1                  9.9999330543090592E-001                                        0                  9.9999986336646451E-001                                        1                  9.9999995810415243E-001                                        0                  9.9999999551741670E-001                                        1                  9.9999999981308485E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        0                  1.5848020720508441E-001                                        1                  8.6023495304633146E-001                                        0                  9.5957239231903479E-001                                        1                  9.7589498380201523E-001                                        0                  9.9343472731665095E-001                                        1                  9.9979457635698987E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  8.5108446334253562E-001                 -2.2799761124788347E+001                 -9.8999999999999986E+001                  8.5108446334253551E-001                 -7.8580823364281971E-001                  8.4094649955522904E-001                 -2.2799761124788347E+001                  3.5797762634828264E+032                  3.6010872049228048E+032                  3.6654685430662353E+032                  3.7142787262879145E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        0                  1.7991353348982753E-001                                        1                  1.8054026799013895E-001                                        2                  1.8125224069059470E-001                                        3                  1.8206501429200647E-001                                        4                  1.8532222607494839E-001                                        3                  1.8714469632124284E-001                                        2                  1.8978984123849543E-001                                        1                  1.9663978421435377E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.8097427294809887E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8548951218580760E+000                  1.6954283388206011E+000                  6.6118276214677452E-001                  3.1129141701165493E+000                  4.1067847761779547E-001                  7.4557613805999763E+000                  4.9106830888522612E+000                  2.0712924922128899E+001                  4.9106830888522612E+000                  7.4557613805999763E+000                  1.3400553785398954E+000                  4.9999263511642400E-001                  4.0609931669864672E+000                  1.0000000000000000E-099                  9.8010386989120990E-001                  5.4322051568427553E-005                  3.9903291057419438E-003                  3.0368695171346478E-003                  9.3376404302275683E-003                  5.4114282620140997E-001                  4.3189326964503766E-001                                        8                                        1                                        6                  3.9428445094112328E+000                  2.1656731190817283E+002                  6.1841687833661521E+000                  3.9403716893465678E+001                 -4.5416249723209940E+000                  1.0000000000000000E+000                  5.2093103917853625E-006                  1.0000000000000000E-003                  1.0000000000000001E-001 
                                      25                                      990                  9.6088080649570628E+001                  3.0323620608138380E+009                  5.0539367680230632E+007                  8.4232279467051057E+005                  3.5096783111271274E+004                 -3.9123808947490715E+000                  9.9400905578620258E-001                  3.3296068791557154E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999277542234000E-001                  2.8532744036487073E-001                  9.9999996232183930E-001                  9.9999988454353617E-001                  9.9999277542234000E-001                  2.8532744036487073E-001                  9.9999996232183930E-001                  9.9999988454353617E-001                                        0                  2.8532744036487073E-001                                        1                  9.9999308588222846E-001                                        0                  9.9999988454353617E-001                                        1                  9.9999996278069503E-001                                        0                  9.9999999710960585E-001                                        1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        0                  1.5356747477482280E-001                                        1                  8.5316257457914735E-001                                        0                  9.5715623361196467E-001                                        1                  9.7276352208917238E-001                                        0                  9.9258871143273486E-001                                        1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  8.5108441803522916E-001                 -2.2799761129300151E+001                 -9.8999999999999986E+001                  8.5108441803522883E-001                 -7.8580828275860548E-001                  8.4094645433787163E-001                 -2.2799761129300151E+001                  3.5797762639206483E+032                  3.6010872057279583E+032                  3.6654685407215107E+032                  3.7142787224205762E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        0                  1.7991353350657746E-001                                        1                  1.8054026800942602E-001                                        2                  1.8125224071773990E-001                                        3                  1.8206501429200719E-001                                        4                  1.8532222607494911E-001                                        3                  1.8714469632124356E-001                                        2                  1.8978984090167095E-001                                        1                  1.9663978145268743E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.8097427294809959E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8833493641299306E+000                  1.8162970920526220E+000                  6.6470865421907654E-001                  3.1058623859719452E+000                  1.8486436192731187E-001                  7.4557613805275222E+000                  4.9106830887388195E+000                  2.0712924921942239E+001                  4.9106830887388195E+000                  7.4557613805275222E+000                  1.3400553785398956E+000                  4.9999263511642400E-001                  4.0609931669864672E+000                  1.0000000000000000E-099                  9.8010386989120990E-001                  5.4322051568427560E-005                  3.9903291057419438E-003                  3.0368695171346465E-003                  9.3376404302275683E-003                  5.4114282620137877E-001                  4.3189326964506924E-001                                        8                                        1                                        6                  3.9426801129089202E+000                  2.1657105809697273E+002                  6.5020884478868854E+000                  3.9721666697131148E+001                 -4.5112634340610338E+000                  1.0000000000000000E+000                  5.3595239036643399E-006                  1.0000000000000000E-003                  1.0000000000000001E-001 
                                      30                                      983                  9.6089155064920618E+001                  3.0323959673745980E+009                  5.0539932789576635E+007                  8.4233221315961063E+005                  3.5097175548317107E+004                 -3.5418331866637445E+000                  9.9400905578620258E-001                  3.3296068791557154E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999293191822514E-001                  2.8857615494321592E-001                  9.9999996621110310E-001                  9.9999989955919499E-001                  9.9999293191822514E-001                  2.8857615494321592E-001                  9.9999996621110310E-001                  9.9999989955919499E-001                                        0                  2.8857615494321592E-001                                        1                  9.9999301014698294E-001                                        0                  9.9999989955919499E-001                                        1                  9.9999996721028550E-001                                        0                  9.9999999763153224E-001                                        1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        0                  1.5569704678619412E-001                                        1                  8.4499372427129249E-001                                        0                  9.5473511599249272E-001                                        1                  9.7025008139380098E-001                                        0                  9.9090066512349295E-001                                        1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  8.5108424577808028E-001                 -2.2799761146537080E+001                 -9.8999999999999986E+001                  8.5108424577808017E-001                 -7.8580847402858223E-001                  8.4094628252977000E-001                 -2.2799761146537080E+001                  3.5797762655351772E+032                  3.6010872085820688E+032                  3.6654685319403417E+032                  3.7142787077162514E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        0                  1.7991353356998940E-001                                        1                  1.8054026808189441E-001                                        2                  1.8125224081630673E-001                                        3                  1.8206501429200692E-001                                        4                  1.8532222607494883E-001                                        3                  1.8714469632124328E-001                                        2                  1.8978983962150267E-001                                        1                  1.9663977097669613E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.8097427294809929E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9092149726105960E+000                  1.9280978431826257E+000                  6.6887781282274639E-001                  3.0975240687646055E+000                  8.8534480455956910E-002                  7.4557613802478890E+000                  4.9106830883004324E+000                  2.0712924921220871E+001                  4.9106830883004324E+000                  7.4557613802478890E+000                  1.3400553785398954E+000                  4.9999263511642400E-001                  4.0609931669864672E+000                  1.0000000000000000E-099                  9.8010386989120990E-001                  5.4322051568427560E-005                  3.9903291057419438E-003                  3.0368695171346465E-003                  9.3376404302275701E-003                  5.4114297888516727E-001                  4.3189311643335015E-001                                        8                                        1                                        6                  3.9423218885517017E+000                  2.1657944816429301E+002                  6.8000297900571365E+000                  4.0019675337109213E+001                 -4.5838193266202518E+000                  1.0000000000000000E+000                  5.2241688086939557E-006                  1.0000000000000000E-003                  1.0000000000000001E-001 
