                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                    3000                                     1079                  1.0000000000000000E+000                  2.0000000000000000E-002                  2.5240960030223438E+008                  1.0156083820687150E+004                  4.0394356352261357E+003                  1.6246187255730490E+002                  2.6061126177896398E+001                  1.8449606634886429E+001                  0.0000000000000000E+000                  8.4205056490760285E-049                  9.8010386989113729E-001                  5.4322051452809223E-005                  9.6389210885299975E-003                  3.9903291059238842E-003                  2.0539441734844519E-003                  9.9400905578620258E-001                  0.0000000000000000E+000                  4.7137103361309562E-001                  9.4222411987421773E-004                  5.0186482304431868E-001                  2.1082503419020014E-003                  4.4096255034396610E-003                  7.1377603880694142E-003                  2.0416391085229402E-003                  2.9932968532473248E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9400581045231096E-001                  2.5918620999706359E+001                  9.9400474720281107E-001                  2.5881070521531640E+001                  1.3360667909868169E+006                  5.4779187626176690E+003                  6.1184143709508672E+007                  1.6158167721882356E+002                  1.6158167721879443E+002                  3.2912354788531352E-012                  1.1023038550426119E+001                  5.0000000000000000E+001                  1.0000000000000000E+003                  7.9655800237394050E+015 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                   radius                                  entropy                       engulfment_heating 
                                       1                  9.9400905578620258E-001                  1.4159931789237004E+000                  3.6063207037874516E+000                 -8.0434400674931776E+000                  3.3604070263528287E+000                  6.8046110746976229E-001                  2.9947201904996812E-001                  2.0066873480269587E-002                  2.6061126177896398E+001                  2.0260977630772480E+001                 -9.8999999999999986E+001 
                                       2                  9.9400905578570553E-001                  1.4159931782908761E+000                  3.6063207350191808E+000                 -8.0434396054368946E+000                  3.3604072761699806E+000                  6.8046055305232300E-001                  2.9947257099462110E-001                  2.0066875953055896E-002                  2.6061126139921914E+001                  2.0260966617052308E+001                 -9.8999999999999986E+001 
                                       3                  9.9400905578483578E-001                  1.4159931771834333E+000                  3.6063207747686632E+000                 -8.0434390173654755E+000                  3.3604075941188771E+000                  6.8045984743012777E-001                  2.9947327346963393E-001                  2.0066879100238300E-002                  2.6061126073466522E+001                  2.0260952599599729E+001                 -9.8999999999999986E+001 
                                       4                  9.9400905578396603E-001                  1.4159931760759918E+000                  3.6063208372321296E+000                 -8.0434375849677302E+000                  3.3604080937523952E+000                  6.8045758151070390E-001                  2.9947552928271198E-001                  2.0066889206584060E-002                  2.6061126007011225E+001                  2.0260908202614193E+001                 -9.8999999999999986E+001 
                                       5                  9.9400905578210241E-001                  1.4159931737029132E+000                  3.6063209224095498E+000                 -8.0434358022716861E+000                  3.3604087750699141E+000                  6.8045487991983478E-001                  2.9947821882407427E-001                  2.0066901256091008E-002                  2.6061125864607611E+001                  2.0260855168281381E+001                 -9.8999999999999986E+001 
                                       6                  9.9400905578023857E-001                  1.4159931713298421E+000                  3.6063210572737479E+000                 -8.0434329808659832E+000                  3.3604098538204901E+000                  6.8045060511960398E-001                  2.9948247455804511E-001                  2.0066920322350912E-002                  2.6061125722204459E+001                  2.0260771250102579E+001                 -9.8999999999999986E+001 
                                       7                  9.9400905577620047E-001                  1.4159931661882255E+000                  3.6063212418246406E+000                 -8.0434291296202307E+000                  3.3604113300012188E+000                  6.8044477729473640E-001                  2.9948827638992637E-001                  2.0066946315337231E-002                  2.6061125413666538E+001                  2.0260656838689556E+001                 -9.8999999999999986E+001 
                                       8                  9.9400905577216225E-001                  1.4159931610466521E+000                  3.6063215115526619E+000                 -8.0434235138071486E+000                  3.3604134874872051E+000                  6.8043628912068499E-001                  2.9949672670542860E-001                  2.0066984173886415E-002                  2.6061125105131211E+001                  2.0260490191876663E+001                 -9.8999999999999986E+001 
                                       9                  9.9400905576439647E-001                  1.4159931511591402E+000                  3.6063219906754029E+000                 -8.0434189172271804E+000                  3.3604173198375480E+000                  6.8043345609581130E-001                  2.9949954709458021E-001                  2.0066996809608550E-002                  2.6061124511801825E+001                  2.0260430893147355E+001                 -9.8999999999999986E+001 
