                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126 
                            model_number                                num_zones                                 star_age                             star_age_sec                             star_age_min                              star_age_hr                             star_age_day                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                          mix_relr_type_1                           mix_relr_top_1                          mix_relr_type_2                           mix_relr_top_2                          mix_relr_type_3                           mix_relr_top_3                          mix_relr_type_4                           mix_relr_top_4                          mix_relr_type_5                           mix_relr_top_5                          mix_relr_type_6                           mix_relr_top_6                          mix_relr_type_7                           mix_relr_top_7                          mix_relr_type_8                           mix_relr_top_8                          mix_relr_type_9                           mix_relr_top_9                         mix_relr_type_10                          mix_relr_top_10                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters                         Orbital_velocity 
                                       1                                     1534                  1.0000000000000000E+005                  3.1558149984000000E+012                  5.2596916640000000E+010                  8.7661527733333337E+008                  3.6525636555555560E+007                  5.0000000000000000E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  7.8994570241739046E-002                  7.8951005888916237E-002                  7.8129685049395396E-008                  9.9999999996556233E-001                  9.7349783994939010E-001                  7.8951005888916237E-002                  7.8129685049395396E-008                  9.9999999996556233E-001                  9.7349783994939010E-001                                        1                  7.8994570241739046E-002                                        0                  9.7349783994939010E-001                                        1                  9.9999999996638789E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  1.3221038835605037E-001                                        0                  7.2858673893043202E-001                                        1                  9.9990792479073587E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                 -1.3120678393689311E-001                 -4.7158293850471104E+001                 -1.5954589770191003E+001                 -1.3120678393689306E-001                 -1.9623909810002257E-001                 -9.8797236548575906E-001                 -4.7158293850471104E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        2                  3.3505417905804080E-002                                        1                  2.3151679246256041E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7515687381002376E+000                 -1.3717565023009487E-001                 -4.8466464862896096E-002                  4.5348222831389169E+000                 -8.2080257088334659E-011                  7.1371608258999197E+000                  1.8898328190205906E+000                  1.7156225499408475E+001                  1.8898328190205906E+000                  7.1371608258999197E+000                  6.2027422115885367E-001                  8.4974784245442780E-001                  1.2973414978624249E+000                  6.9947219218470980E-001                  2.8036857100508678E-001                  2.9090368118297660E-003                  9.3604173093544130E-003                  3.4416106108119912E-003                  9.3604466091399986E-003                  6.9990698897213988E-001                  2.8001429211532919E-001                                        0                                        0                                        3                  4.6182377719092915E+002 
                                       5                                      815                  7.4415999999999988E+005                  2.3484312892093438E+013                  3.9140521486822394E+011                  6.5234202478037319E+009                  2.7180917699182218E+008                  5.3167249841904987E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  7.2872360072574499E-002                  7.1753622405374307E-002                  7.8129682056563719E-008                  9.9999999996478117E-001                  9.7218193271630404E-001                  7.1753622405374307E-002                  7.8129682056563719E-008                  9.9999999996478117E-001                  9.7218193271630404E-001                                        1                  7.2872360072574499E-002                                        0                  9.7218193271630404E-001                                        1                  9.9999999996669975E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  1.2986360051600460E-001                                        0                  7.2773331787863038E-001                                        1                  9.9990874035877819E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                 -1.3857090211076814E-001                 -4.7183045819870920E+001                 -9.8999999999999986E+001                 -1.3857090211076820E-001                 -2.0207880930587438E-001                 -1.0048944798365866E+000                 -4.7183045819870920E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        2                  3.2917470137295957E-002                                        1                  2.3151679246255741E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7496199109875490E+000                 -1.5393390695186959E-001                 -5.2947938998406385E-002                  4.5437852314099381E+000                 -2.8858522072024730E-011                  7.1367828952549015E+000                  1.8880930729037488E+000                  1.7154081563235508E+001                  1.8880930729037488E+000                  7.1367828952549015E+000                  6.2029246375203018E-001                  8.4972907701462141E-001                  1.2973923827608156E+000                  6.9943504058918304E-001                  2.8039776753240925E-001                  2.8544766925186239E-003                  9.3604138520799497E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9990121383904569E-001                  2.8001765248624993E-001                                        0                                        0                                        3                  4.6421270885336526E+002 
                                      10                                      812                  2.5958682111999993E+006                  8.1920798347747375E+013                  1.3653466391291228E+012                  2.2755777318818714E+010                  9.4815738828411305E+008                  5.7126312144286233E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.5858137681511886E-002                  6.3318093820682597E-002                  7.8129682001052568E-008                  9.9999999996478117E-001                  9.7073694923124842E-001                  6.3318093820682597E-002                  7.8129682001052568E-008                  9.9999999996478117E-001                  9.7073694923124842E-001                                        1                  6.5858137681511886E-002                                        0                  9.7073694923124842E-001                                        1                  9.9999999996654787E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  1.2650017154921797E-001                                        0                  7.2658310807014082E-001                                        1                  9.9990835172884651E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                 -1.5263011597084783E-001                 -4.7268509504432778E+001                 -1.5477468515471340E+001                 -1.5263011597084764E-001                 -2.1032422930096259E-001                 -1.0578106771968490E+000                 -4.7268509504432778E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        2                  2.8264436308958297E-002                                        1                  2.3151679246255741E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7476770288013279E+000                 -1.6941337771865872E-001                 -5.6801910009358539E-002                  4.5514931734318420E+000                 -5.9566071355616803E-012                  7.1352144114644451E+000                  1.8859016040636718E+000                  1.7150275080001684E+001                  1.8859016040636718E+000                  7.1352144114644451E+000                  6.2034525253476824E-001                  8.4967578639665664E-001                  1.2975372993435856E+000                  6.9932857511251223E-001                  2.8047975294716737E-001                  2.7055053565979014E-003                  9.3604041217043143E-003                  3.4416106108119938E-003                  9.3604466091399760E-003                  6.9988500409865240E-001                  2.8002711860994156E-001                                        0                                        0                                        3                  4.6627701930651153E+002 
                                      15                                      806                  7.2035107872931827E+006                  2.2732947383676019E+014                  3.7888245639460029E+012                  6.3147076065766716E+010                  2.6311281694069467E+009                  6.1085374446667471E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  5.3760219309342078E-002                  5.3467580769339218E-002                  7.8129682056563719E-008                  9.9999999996478117E-001                  9.6969583044242769E-001                  5.3467580769339218E-002                  7.8129682056563719E-008                  9.9999999996478117E-001                  9.6969583044242769E-001                                        1                  5.3760219309342078E-002                                        0                  9.6969583044242769E-001                                        1                  9.9999999996601674E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  1.1724181756295937E-001                                        0                  7.2423329125905689E-001                                        1                  9.9990781358679037E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                 -1.6477630293485904E-001                 -4.7384829567214304E+001                 -1.5653559774527022E+001                 -1.6477630293485890E-001                 -2.1201645182218998E-001                 -1.1516553469956217E+000                 -4.7384829567214304E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        2                  2.6592529975978274E-002                                        1                  2.3806446067503151E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7469526912019679E+000                 -1.7047209337515759E-001                 -5.5882592638887750E-002                  4.5496545386909002E+000                  2.9514605245604786E-012                  7.1329359790286286E+000                  1.8869886001749236E+000                  1.7149016438921667E+001                  1.8869886001749236E+000                  7.1329359790286286E+000                  6.2047787095670448E-001                  8.4954337870184871E-001                  1.2978956452506332E+000                  6.9906384485492901E-001                  2.8068787095360942E-001                  2.3642812220574334E-003                  9.3603797869025087E-003                  3.4416106108119894E-003                  9.3604466091399760E-003                  6.9984661662184355E-001                  2.8005076058231698E-001                                        0                                        0                                        3                  4.6578377127387984E+002 
                                      20                                      802                  1.8668799962237366E+007                  5.8915278922958038E+014                  9.8192131538263398E+012                  1.6365355256377234E+011                  6.8188980234905138E+009                  6.5044436749048709E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  3.9559013161956098E-002                  3.8965373421343041E-002                  7.8129682001052568E-008                  9.9999999996478117E-001                  9.6992519163880409E-001                  3.8965373421343041E-002                  7.8129682001052568E-008                  9.9999999996478117E-001                  9.6992519163880409E-001                                        1                  3.9559013161956098E-002                                        0                  9.6992519163880409E-001                                        1                  9.9999999996568567E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  1.0394660915874615E-001                                        0                  7.2331267694278267E-001                                        1                  9.9990751489624163E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                 -1.6333983562766638E-001                 -4.7423551660720200E+001                 -9.8999999999999986E+001                 -1.6333983562766644E-001                 -1.9708957617100328E-001                 -1.2896193030622114E+000                 -4.7423551660720200E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        2                  2.1476066181138564E-002                                        1                  2.4680650390881786E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7477098194182017E+000                 -1.6166976297038568E-001                 -5.2995683868969592E-002                  4.5438807211510639E+000                  7.1670007564096956E-013                  7.1319451985056954E+000                  1.8930068396983477E+000                  1.7153872537762940E+001                  1.8930068396983477E+000                  7.1319451985056954E+000                  6.2081334137742006E-001                  8.4920656288922192E-001                  1.2987980004052453E+000                  6.9839125456867956E-001                  2.8124120300831035E-001                  1.6299362655155408E-003                  9.3603111666552968E-003                  3.4416106108119894E-003                  9.3604466091399760E-003                  6.9975598641651904E-001                  2.8011318361737864E-001                                        0                                        0                                        4                  4.6423822654445439E+002 
                                      25                                      793                  4.7198108322034471E+007                  1.4894849813878425E+015                  2.4824749689797375E+013                  4.1374582816328961E+011                  1.7239409506803734E+010                  6.9003499051429946E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  1.9296401978797808E-002                  9.9999999996478117E-001                  9.7059382012225182E-001                  1.7667216305050859E-002                  7.8129682056563719E-008                  9.9999999996478117E-001                  9.7059382012225182E-001                  1.7667216305050859E-002                  7.8129682056563719E-008                                        1                  1.9296401978797808E-002                                        0                  9.7059382012225182E-001                                        1                  9.9999999996583966E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  7.9892694775936704E-002                                        0                  7.2356398628471674E-001                                        1                  9.9990778208982189E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                 -1.5616908853569594E-001                 -4.7414253104156344E+001                 -9.8999999999999986E+001                 -1.5616908853569603E-001                 -1.7401791196372277E-001                 -1.5512376537882564E+000                 -4.7414253104156344E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        2                  1.4167271537164948E-002                                        1                  2.7391327485627570E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7486923172188895E+000                 -1.5456913683518314E-001                 -5.1410366402744871E-002                  4.5407100862186143E+000                  2.2968351378671382E-013                  7.1315664406470214E+000                  1.9046541776066230E+000                  1.7164660018921460E+001                  1.9046541776066230E+000                  7.1315664406470214E+000                  6.2166798681378199E-001                  8.4834000050588299E-001                  1.3010706635072420E+000                  6.9666033595220689E-001                  2.8279407022119279E-001                  5.2174038879387614E-004                  9.3600754980131887E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9953915483603901E-001                  2.8028247821299446E-001                                        0                                        0                                        4                  4.6339168833174034E+002 
                                      30                                      784                  1.1818815689988479E+008                  3.7297995817790890E+015                  6.2163326362984820E+013                  1.0360554393830803E+012                  4.3168976640961678E+010                  7.2962561353811193E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  1.6047267740063032E-003                  9.9999999996478117E-001                  9.7120214124832593E-001                  1.2827388451892574E-003                  7.8129682056563838E-008                  9.9999999996478117E-001                  9.7120214124832593E-001                  1.2827388451892574E-003                  7.8129682056563838E-008                                        1                  1.6047267740063032E-003                                        0                  9.7120214124832593E-001                                        1                  9.9999999996596067E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  3.3963644959920658E-002                                        0                  7.2415581067891810E-001                                        1                  9.9990809990301088E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                 -1.4847793210226728E-001                 -4.7379435342554274E+001                 -1.5954589770191003E+001                 -1.4847793210226723E-001                 -1.5702386237682789E-001                 -1.8587688565796818E+000                 -4.7379435342554274E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        2                  1.8458655770161082E-002                                        1                  2.9328708311177476E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7494329755627662E+000                 -1.4842717975845024E-001                 -4.9820704552131591E-002                  4.5375307625173882E+000                  1.0092517202704983E-013                  7.1312809409257438E+000                  1.9152929208103506E+000                  1.7173538394960495E+001                  1.9152929208103506E+000                  7.1312809409257438E+000                  6.2393806848916533E-001                  8.4601061112275411E-001                  1.3070448734025233E+000                  6.9200454896047159E-001                  2.8737683116169543E-001                  2.8960246699862203E-005                  9.3590463069582793E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9901328206785318E-001                  2.8073534168946968E-001                                        0                                        0                                        4                  4.6254438028681233E+002 
