                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                    1400                                     1317                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.2063848005298347E+010                  3.1687535565519543E+001                  4.7820042426331165E+003                  7.6736261439974287E+000                  4.0414688951656546E+000                  1.2146813856717962E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8010537271104248E-001                  5.4461104179836523E-005                  9.6491163714280195E-003                  4.0012655801368157E-003                  2.0994599496981501E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  5.4466320832873860E-001                  1.0388538203910799E-003                  4.3424906710476446E-001                  2.2870351916878025E-003                  3.3600726352648693E-003                  8.2119786859402369E-003                  2.0994599496976948E-003                  1.8143267704525459E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998949186442E-001                  4.0378521396168860E+000                  9.9999998430699066E-001                  4.0365135034597559E+000                  8.1347166939990115E+004                  7.5690201538528153E+005                  1.3031648678665874E+009                  7.4324426149651925E+000                  7.4324426149651952E+000                  1.6841379593078531E-023                  5.0875148899023137E-001                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.8071272473538451E+017 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                   radius                                  entropy                   log_engulfment_heating 
                                       1                  1.0000000000000000E+000                  6.0653924063552211E-001                  3.6796129576793679E+000                 -7.3024066505504894E+000                  4.1814675511660653E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.0414688951656546E+000                  1.9445101639457448E+001                  3.6698199458393739E+000 
                                       2                  9.9999999999949996E-001                  6.0653920964551977E-001                  3.6796189589740051E+000                 -7.3023646397085535E+000                  4.1815155543832239E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.0414686067780936E+000                  1.9445044159329406E+001                  3.6698199458393739E+000 
                                       3                  9.9999999999899991E-001                  6.0653917865850904E-001                  3.6796294616587546E+000                 -7.3022911339433429E+000                  4.1815995472720919E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.0414683184183939E+000                  1.9444943609750201E+001                  3.6698199458393739E+000 
                                       4                  9.9999999999774991E-001                  6.0653910120406485E-001                  3.6796444672625865E+000                 -7.3021861556727750E+000                  4.1817195090270349E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.0414675976409775E+000                  1.9444800061096338E+001                  3.6698199458393739E+000 
                                       5                  9.9999999999649980E-001                  6.0653902376829782E-001                  3.6796669780087603E+000                 -7.3020287528237180E+000                  4.1818993896804120E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  4.0414668770374966E+000                  1.9444584937297360E+001                  3.6698199458393739E+000 
                                       6                  9.9999999999399991E-001                  6.0653886895276077E-001                  3.6797045043626317E+000                 -7.3017665888768031E+000                  4.1821990257291111E+000                  6.9999999999999996E-001                  2.8000000000000008E-001                  2.0000000000000018E-002                  4.0414654363520182E+000                  1.9444226938575646E+001                  3.6698199458393739E+000 
                                       7                  9.9999999999024980E-001                  6.0653863686928833E-001                  3.6797533052789579E+000                 -7.3014261016148794E+000                  4.1825882446181062E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                  4.0414632766260246E+000                  1.9443762554110073E+001                  3.6698199458393739E+000 
                                       8                  9.9999999998587497E-001                  6.0653836631696167E-001                  3.6798265339646248E+000                 -7.3009160524762562E+000                  4.1831714211436397E+000                  6.9999999999999996E-001                  2.8000000000000008E-001                  2.0000000000000018E-002                  4.0414607589174247E+000                  1.9443068085877684E+001                  3.6698199458393739E+000 
                                       9                  9.9999999997806255E-001                  6.0653788375362205E-001                  3.6799533627454326E+000                 -7.3000352114090417E+000                  4.1841789227015331E+000                  6.9999999829393644E-001                  2.8000000170606376E-001                  1.9999999999999796E-002                  4.0414562682784716E+000                  1.9441872096535327E+001                  3.6698199458393739E+000 
