                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      779                  4.6519883751035233E+009                  8.3582169710470442E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999996087507E-001                  9.7947336991207667E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996087507E-001                  9.7947336991207667E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.0103881293604361E-002                 -4.2994057431936270E+001                 -1.5176438519807359E+001                 -6.0103881293604028E-002                 -6.5842283630708667E-002                 -1.9419632397950854E+000                 -4.2994057431936270E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7572981671173693E+000                 -1.6586490676528620E-002                  3.6925687962395808E-004                  4.4371508396538770E+000                 -5.5776319958456127E-014                  7.1929299080266995E+000                  2.1563322303757388E+000                  1.7334262603916777E+001                  2.1563322303757388E+000                  7.1929299080266995E+000                  8.6685774591085707E-001                  6.6500349500050127E-001                  2.0259165982136778E+000                  3.3000448127215259E-001                  6.4951000744140208E-001                  2.1992432259603666E-005                  8.6248364865682981E-003                  3.4416106108120046E-003                  9.3604466091399639E-003                  6.6048523150349803E-001                  3.1859083606203342E-001                                        0                                        0                                        6 
                                       5                                      778                  5.3654162553072891E+009                  8.3092578178040863E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999995775013E-001                  9.7578978479393963E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999995775013E-001                  9.7578978479393963E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.4772305560962065E-002                 -4.2218820032071392E+001                 -1.5653559774527022E+001                 -3.4772305560961954E-002                 -4.3545726707525316E-002                 -1.7337669654972723E+000                 -4.2218820032071392E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7585061595366658E+000                  7.3491936963138889E-003                  9.9211142274522410E-003                  4.4180471249582203E+000                  8.9982523871332494E-014                  7.2050708678116928E+000                  2.2077740173972846E+000                  1.7371702152420877E+001                  2.2077740173972846E+000                  7.2050708678116928E+000                  9.2002660864485841E-001                  6.3731936264678335E-001                  2.2119518811177961E+000                  2.7463719227441047E-001                  7.0492572786913321E-001                  2.4487331631704433E-005                  8.2641286118035756E-003                  3.4416106108120046E-003                  9.3604466091399639E-003                  6.5422180754226189E-001                  3.2481146551646939E-001                                        0                                        0                                        6 
                                      10                                      777                  6.4420331054575224E+009                  8.3189220020757286E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999995150013E-001                  9.7693886497645288E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999995150013E-001                  9.7693886497645288E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.5346087775989539E-003                 -4.0884735336049580E+001                 -9.8999999999999986E+001                  6.5346087775988585E-003                 -1.2304318216638783E-002                 -1.3655789534611711E+000                 -4.0884735336049580E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7600558897195007E+000                  4.4965792128620195E-002                  2.5629953077934496E-002                  4.3866294472572562E+000                  1.0736510300284283E-013                  7.2267418831774730E+000                  2.2982897787130705E+000                  1.7437400515556075E+001                  2.2982897787130705E+000                  7.2267418831774730E+000                  1.0284907461347088E+000                  5.9230244783128871E-001                  2.6001243847659161E+000                  1.8460440725061578E-001                  7.9509138568613658E-001                  3.0940093859210889E-005                  7.2348205217758876E-003                  3.4416106108120037E-003                  9.3604466091399621E-003                  6.4399370811561041E-001                  3.3500905770110861E-001                                        0                                        0                                        6 
                                      15                                      784                  7.3862647185473680E+009                  8.2454206684688103E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999994681266E-001                  9.7743852222349548E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999994681266E-001                  9.7743852222349548E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3626822469552309E-002                 -3.9519591056923566E+001                 -1.5352529778863040E+001                  4.3626822469552483E-002                  2.9694349813950221E-003                 -1.0051881325423524E+000                 -3.9519591056923566E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7607608472176981E+000                  7.9159661977165161E-002                  4.1316973005812656E-002                  4.3552554074014997E+000                  1.2541228652917971E-013                  7.2495844513758749E+000                  2.3933251548091197E+000                  1.7504139536540336E+001                  2.3933251548091197E+000                  7.2495844513758749E+000                  1.1645292357944526E+000                  5.4790211198484073E-001                  3.1442106504702299E+000                  9.5804150126418006E-002                  8.8408552495279813E-001                  4.0697694003629155E-005                  5.7067231643432807E-003                  3.4416106108120046E-003                  9.3604466091399656E-003                  6.3415955933704549E-001                  3.4482503041554735E-001                                        0                                        0                                        6 
                                      20                                      796                  8.1735040777007875E+009                  8.1637276549456903E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999994212518E-001                  9.7711941189086604E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999994212518E-001                  9.7711941189086604E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5139463705576698E-002                 -3.8297324318402268E+001                 -1.4954589770191003E+001                  7.5139463705577114E-002                  9.2373260753085714E-004                 -7.2872843079214067E-001                 -3.8297324318402268E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7607123516469270E+000                  1.0862760783081948E-001                  5.6147937074182461E-002                  4.3255934792647599E+000                  1.5033774736419689E-013                  7.2683223426744856E+000                  2.4872411814861617E+000                  1.7572721723566531E+001                  2.4872411814861617E+000                  7.2683223426744856E+000                  1.2887674584119271E+000                  5.1332334094963550E-001                  3.7563652507386709E+000                  2.6646678658427403E-002                  9.5339547370425537E-001                  4.9676865447129865E-005                  4.5005715832831606E-003                  3.4416106108120046E-003                  9.3604466091399639E-003                  6.2527675727453169E-001                  3.5369354501502204E-001                                        0                                        0                                        6 
                                      25                                      806                  8.8255446601971130E+009                  8.0807035056066727E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999993900035E-001                  9.7669509131300203E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999993900035E-001                  9.7669509131300203E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0645833297843987E-001                 -3.7500417511677497E+001                 -1.5352529778863040E+001                  1.0645833297844003E-001                  3.0177448533224398E-003                 -5.6732921124331670E-001                 -3.7500417511677497E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2842482318188020E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7606017857594378E+000                  1.3790215325464117E-001                  7.1006341561071870E-002                  4.2958766702909816E+000                  1.8982634870526403E-013                  7.2753171412694195E+000                  2.5740273692049773E+000                  1.7652467050515618E+001                  2.5740273692049773E+000                  7.2753171412694195E+000                  1.3333373990480122E+000                  5.0188903836262044E-001                  4.0148599043892395E+000                  3.7780766731207219E-003                  9.7630949377554566E-001                  5.3086723750993002E-005                  4.1418499025073505E-003                  3.4416106108120046E-003                  9.3604466091399639E-003                  6.1734683158013692E-001                  3.6161638780910171E-001                                        0                                        0                                        6 
                                      30                                      824                  9.3112418526777153E+009                  7.8315028472649137E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999993275024E-001                  9.7626375787893027E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999993275024E-001                  9.7626375787893027E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3345148418719027E-001                 -3.7001294331223093E+001                 -9.8999999999999986E+001                  1.3345148418719022E-001                  8.3883458665074701E-003                 -4.6823551566671368E-001                 -3.7001294331223093E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.6749283110433544E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7603888897049464E+000                  1.6325449317611329E-001                  8.4108303630789583E-002                  4.2696727461515458E+000                  2.2805759957845431E-013                  7.2790352321483276E+000                  2.6453448713513636E+000                  1.7726935450562667E+001                  2.6453448713513636E+000                  7.2790352321483276E+000                  1.3399589838110690E+000                  5.0022743635518396E-001                  4.0554142752151146E+000                  4.5487270969475808E-004                  9.7963926606518159E-001                  5.4441522940631793E-005                  4.0911109264660413E-003                  3.4416106108120046E-003                  9.3604466091399621E-003                  6.1102034115810411E-001                  3.6794129882777415E-001                                        0                                        0                                        6 
                                      35                                      832                  9.4938914016103172E+009                  7.3508743961184244E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999993275024E-001                  9.7598926081803727E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999993275024E-001                  9.7598926081803727E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4442016528517077E-001                 -3.6820505225992278E+001                 -9.8999999999999986E+001                  1.4442016528517063E-001                  1.1039210559297718E-002                 -4.3325530410545426E-001                 -3.6820505225992278E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.0343746116138823E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7602410595112365E+000                  1.7359538549758557E-001                  8.9574410178945699E-002                  4.2587405330552333E+000                  2.4734543491372494E-013                  7.2806121190651760E+000                  2.6751326614557085E+000                  1.7758911473420739E+001                  2.6751326614557085E+000                  7.2806121190651760E+000                  1.3405677812237982E+000                  5.0007511839257202E-001                  4.0591726418528440E+000                  1.5023678507408426E-004                  9.7994456669201380E-001                  5.4910083278228532E-005                  4.0864180703775975E-003                  3.4416106108120046E-003                  9.3604466091399621E-003                  6.0854002985388489E-001                  3.7042159106212574E-001                                        0                                        0                                        5 
                                      40                                      831                  9.5826147342423401E+009                  7.2148270360387263E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999992962529E-001                  9.7585054112470948E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999992962529E-001                  9.7585054112470948E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4997747684775975E-001                 -3.6729753786975458E+001                 -9.8999999999999986E+001                  1.4997747684775975E-001                  1.2374330331392153E-002                 -4.1616495236861456E-001                 -3.6729753786975458E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0593446775010897E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7601505099531489E+000                  1.7877548773795804E-001                  9.2345560415307837E-002                  4.2531982325825091E+000                  2.5517444829781897E-013                  7.2815356610471458E+000                  2.6901849621615268E+000                  1.7775273816151607E+001                  2.6901849621615268E+000                  7.2815356610471458E+000                  1.3407084996429002E+000                  5.0003992003193232E-001                  4.0600420475419838E+000                  7.9840063845080530E-005                  9.8001513804911811E-001                  5.5139447584283542E-005                  4.0853268036719877E-003                  3.4416106108120046E-003                  9.3604466091399639E-003                  6.0731336882295650E-001                  3.7164831551315958E-001                                        0                                        0                                        5 
