                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                    1200                                      759                  2.1000000000000001E+000                  2.0000000000000000E-002                  1.0452101543872598E+009                  3.6561988180909393E+004                  4.1648708139645969E+003                  1.1245779793949410E+002                  2.0396260685981439E+001                  4.5880078302872080E+000                  1.0383130251091940E-025                  6.2447346709116364E-052                  9.8048035030352954E-001                  1.4063441515454371E-004                  1.2071148743705122E-002                  1.0871032052224389E-003                  1.6630066478361431E-003                  2.0986980385022931E+000                 -4.3378497057086863E-011                  1.2252320024202497E+000                  5.3785376902696779E-004                  8.3080752862823226E-001                  3.9852592939269007E-003                  8.3344375098819545E-003                  1.6488304970623976E-002                  3.5041415176730222E-003                  2.8047402219236228E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0986969382088327E+000                  2.0353843250779676E+001                  2.0986965900887049E+000                  2.0342921325820491E+001                  6.3662607761307748E+005                  4.5075372344937314E+004                  1.8662094376340711E+008                  1.1099234369711671E+002                  1.1098721167172677E+002                  5.8576062610467539E-006                  7.5654079403937713E+000                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.2984898816952944E+016 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83 
                                    zone                                     logT                                   logRho                                     logP                                     logR                                  entropy                              mixing_type                                   csound                                      eta                                       mu                                   logtau                                  logPgas              log_thermal_time_to_surface                                     abar                                       ye                                  eps_nuc                              non_nuc_neu                        mlt_mixing_length                          mlt_mixing_type                                 brunt_N2                    pressure_scale_height                                log_D_mix                            log_mlt_D_mix                               log_D_conv                               log_D_soft                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                               log_D_anon                                    j_rot                                    gradT                                    gradr                                     mass                                     neut                                       h1                                       h2                                      he3                                      he4                                      li7                                      be7                                      be9                                     be10                                       b8                                      c12                                      c13                                      n13                                      n14                                      n15                                      o14                                      o15                                      o16                                      o17                                      o18                                      f17                                      f18                                      f19                                     ne18                                     ne19                                     ne20                                     ne21                                     ne22                                     na21                                     na22                                     na23                                     na24                                     mg23                                     mg24                                     mg25                                     mg26                                     al25                                     al26                                     al27                                     si27                                     si28                                     si29                                     si30                                      p30                                      p31                                      s31                                      s32                                      s33                                      s34 
                                       1                  3.6196016137336380E+000                 -7.7724270804130251E+000                  3.6455154388660511E+000                  1.3095505540779298E+000                  1.9861290266243721E+001                                        6                  6.5276030684154155E+005                 -1.7551597813840562E+001                  1.3167608577515977E+000                 -1.7609125905568127E-001                  3.6454408894353847E+000                 -2.4244204541349053E+000                  1.3190025260351292E+000                  8.4133687210501296E-001                  5.2548297689631509E-016                  0.0000000000000000E+000                  2.8398511450331812E+009                                        0                  1.9002035283807562E-008                  2.7202420999005539E-002                  2.5835003271183878E+000                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.2979626838836822E+014                  1.2501081917318974E-001                  1.2501081917318974E-001                  2.0986980385022931E+000                  0.0000000000000000E+000                  6.8260935805686729E-001                  1.8896934724039612E-017                  3.0205396332269363E-004                  2.9692253546959213E-001                  1.0716574160321874E-006                  1.3170671631748681E-030                  1.9798952695078253E-060                  3.0583436063053326E-087                  5.8024596522708518E-099                  2.2199534623981313E-003                  1.0062125670424602E-004                  2.9885841289278898E-099                  2.5275047365840753E-003                  2.3528789408662130E-006                  4.3444422314941974E-099                  1.0000056620967735E-099                  9.0602904274317275E-003                  4.7047715368214439E-005                  1.7084922040937505E-005                  1.0258914572446324E-099                  1.4154148286815008E-098                  3.2776567802151122E-007                  1.0003141400295604E-099                  1.0005828789792142E-099                  1.6706118392783378E-003                  3.5475491472107520E-006                  1.0150094788110885E-004                  1.0013137663248254E-099                  1.0072887427122005E-099                  3.5985493536547075E-005                  1.6048345831502915E-099                  1.0008559821159321E-099                  3.2549626999254793E-003                  5.6657240062026528E-005                  6.5112080969138603E-005                  1.0006455692475509E-099                  1.1531073786172864E-019                  4.8661393059559395E-005                  1.0004193216684294E-099                  5.4736779860091868E-004                  2.8714994673676527E-005                  1.9718350148407800E-005                  1.0064624574292197E-099                  6.8357902664661196E-006                  1.0004715735155048E-099                  3.3177692272510096E-004                  2.7008373277895698E-006                  1.5643750053860712E-005 
                                       2                  3.6196018493938769E+000                 -7.7724254317835042E+000                  3.6455173239789400E+000                  1.3095505523979263E+000                  1.9861288038146370E+001                                        6                  6.5276051309127104E+005                 -1.7551594831669398E+001                  1.3167608547580121E+000                 -1.7608999928704594E-001                  3.6454427747100682E+000                 -1.9483055769957522E+000                  1.3190025260351292E+000                  8.4133687210501296E-001                  5.2548297690306034E-016                  0.0000000000000000E+000                  2.8398516397159181E+009                                        0                  1.9002010633084055E-008                  2.7202435600913708E-002                  2.5835003271183878E+000                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.2979626661050300E+014                  1.2501112846179263E-001                  1.2501112846179263E-001                  2.0986980385011123E+000                  0.0000000000000000E+000                  6.8260935805686729E-001                  1.8896934724039612E-017                  3.0205396332269363E-004                  2.9692253546959213E-001                  1.0716574160321874E-006                  1.3170671631748681E-030                  1.9798952695078253E-060                  3.0583436063053326E-087                  5.8024596522728642E-099                  2.2199534623981313E-003                  1.0062125670424602E-004                  2.9885841289278898E-099                  2.5275047365840753E-003                  2.3528789408662130E-006                  4.3444422314941974E-099                  1.0000056620967735E-099                  9.0602904274317275E-003                  4.7047715368214439E-005                  1.7084922040937505E-005                  1.0258914572446324E-099                  1.4154148286815008E-098                  3.2776567802151122E-007                  1.0003141400295604E-099                  1.0005828789792142E-099                  1.6706118392783378E-003                  3.5475491472107520E-006                  1.0150094788110885E-004                  1.0013137663248254E-099                  1.0072938933248954E-099                  3.5985493536547075E-005                  1.6048345831502915E-099                  1.0008559821159321E-099                  3.2549626999254793E-003                  5.6657240062026528E-005                  6.5112080969138603E-005                  1.0006455692475509E-099                  1.1531073786172864E-019                  4.8661393059559395E-005                  1.0004193216684294E-099                  5.4736779860091868E-004                  2.8714994673676527E-005                  1.9718350148407800E-005                  1.0064624574292197E-099                  6.8357902664661196E-006                  1.0004715735155048E-099                  3.3177692272510096E-004                  2.7008373277895698E-006                  1.5643750053860712E-005 
                                       3                  3.6196023699262105E+000                 -7.7724217902940440E+000                  3.6455214878189177E+000                  1.3095505490495962E+000                  1.9861283116747803E+001                                        6                  6.5276096866083087E+005                 -1.7551588244678335E+001                  1.3167608481456357E+000                 -1.7608748849589495E-001                  3.6454469389074142E+000                 -1.5429720634456938E+000                  1.3190025260351292E+000                  8.4133687210501296E-001                  5.2548297691795946E-016                  0.0000000000000000E+000                  2.8398536553673363E+009                                        0                  1.9001911786456124E-008                  2.7202467899418541E-002                  2.5835004882979726E+000                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.2979626306714878E+014                  1.2501236132307678E-001                  1.2501236132307678E-001                  2.0986980384987599E+000                  0.0000000000000000E+000                  6.8260935805686729E-001                  1.8896934724039612E-017                  3.0205396332269363E-004                  2.9692253546959213E-001                  1.0716574160321874E-006                  1.3170671631748681E-030                  1.9798952695078253E-060                  3.0583436063053326E-087                  5.8024596522773107E-099                  2.2199534623981313E-003                  1.0062125670424602E-004                  2.9885841289278898E-099                  2.5275047365840753E-003                  2.3528789408662130E-006                  4.3444422314941974E-099                  1.0000056620967735E-099                  9.0602904274317275E-003                  4.7047715368214439E-005                  1.7084922040937505E-005                  1.0258914572446324E-099                  1.4154148286815008E-098                  3.2776567802151122E-007                  1.0003141400295604E-099                  1.0005828789792142E-099                  1.6706118392783378E-003                  3.5475491472107520E-006                  1.0150094788110885E-004                  1.0013137663248254E-099                  1.0073279574836850E-099                  3.5985493536547075E-005                  1.6048345831502915E-099                  1.0008559821159321E-099                  3.2549626999254793E-003                  5.6657240062026528E-005                  6.5112080969138603E-005                  1.0006455692475509E-099                  1.1531073786172864E-019                  4.8661393059559395E-005                  1.0004193216684294E-099                  5.4736779860091868E-004                  2.8714994673676527E-005                  1.9718350148407800E-005                  1.0064624574292197E-099                  6.8357902664661196E-006                  1.0004715735155048E-099                  3.3177692272510096E-004                  2.7008373277895698E-006                  1.5643750053860712E-005 
                                       4                  3.6196034525561123E+000                 -7.7724142167455339E+000                  3.6455301477790250E+000                  1.3095505412913349E+000                  1.9861272881335648E+001                                        6                  6.5276191617757361E+005                 -1.7551574545195706E+001                  1.3167608343925572E+000                 -1.7608167079744610E-001                  3.6454555996107527E+000                 -1.2005849532633996E+000                  1.3190025260351292E+000                  8.4133687210501296E-001                  5.2548297694894601E-016                  0.0000000000000000E+000                  2.8398583258291798E+009                                        0                  1.9001682750537185E-008                  2.7202534976152690E-002                  2.5835008618998043E+000                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.2979625485707988E+014                  1.2501521797086629E-001                  1.2501521797086629E-001                  2.0986980384933078E+000                  0.0000000000000000E+000                  6.8260935805686729E-001                  1.8896934724039612E-017                  3.0205396332269363E-004                  2.9692253546959213E-001                  1.0716574160321874E-006                  1.3170671631748681E-030                  1.9798952695078253E-060                  3.0583436063053326E-087                  5.8024596522865578E-099                  2.2199534623981313E-003                  1.0062125670424602E-004                  2.9885841289278898E-099                  2.5275047365840753E-003                  2.3528789408662130E-006                  4.3444422314941974E-099                  1.0000056620967735E-099                  9.0602904274317275E-003                  4.7047715368214439E-005                  1.7084922040937505E-005                  1.0258914572446324E-099                  1.4154148286815010E-098                  3.2776567802151122E-007                  1.0003141400295604E-099                  1.0005828789792142E-099                  1.6706118392783378E-003                  3.5475491472107520E-006                  1.0150094788110885E-004                  1.0013137663248254E-099                  1.0075085567982575E-099                  3.5985493536547075E-005                  1.6048345831502915E-099                  1.0008559821159321E-099                  3.2549626999254793E-003                  5.6657240062026528E-005                  6.5112080969138603E-005                  1.0006455692475509E-099                  1.1531073786172862E-019                  4.8661393059559395E-005                  1.0004193216684294E-099                  5.4736779860091868E-004                  2.8714994673676527E-005                  1.9718350148407800E-005                  1.0064624574292197E-099                  6.8357902664661196E-006                  1.0004715735155048E-099                  3.3177692272510096E-004                  2.7008373277895698E-006                  1.5643750053860712E-005 
                                       5                  3.6196048304753323E+000                 -7.7724045779590334E+000                  3.6455411692982489E+000                  1.3095505259500759E+000                  1.9861259855005972E+001                                        6                  6.5276312213173008E+005                 -1.7551557110216237E+001                  1.3167608168875506E+000                 -1.7607016657897695E-001                  3.6454666220758352E+000                 -1.0245533258489556E+000                  1.3190025260351292E+000                  8.4133687210501296E-001                  5.2548297698838186E-016                  0.0000000000000000E+000                  2.8398675615455470E+009                                        0                  1.9001229841182298E-008                  2.7202619663645813E-002                  2.5835016014111818E+000                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.2979623862271600E+014                  1.2502086689821318E-001                  1.2502086689821318E-001                  2.0986980384825276E+000                  0.0000000000000000E+000                  6.8260935805686729E-001                  1.8896934724039612E-017                  3.0205396332269363E-004                  2.9692253546959213E-001                  1.0716574160321874E-006                  1.3170671631748681E-030                  1.9798952695078253E-060                  3.0583436063053326E-087                  5.8024596522983265E-099                  2.2199534623981313E-003                  1.0062125670424602E-004                  2.9885841289278898E-099                  2.5275047365840753E-003                  2.3528789408662130E-006                  4.3444422314941974E-099                  1.0000056620967735E-099                  9.0602904274317275E-003                  4.7047715368214439E-005                  1.7084922040937505E-005                  1.0258914572446324E-099                  1.4154148286815008E-098                  3.2776567802151122E-007                  1.0003141400295604E-099                  1.0005828789792142E-099                  1.6706118392783378E-003                  3.5475491472107520E-006                  1.0150094788110885E-004                  1.0013137663248254E-099                  1.0080202314607424E-099                  3.5985493536547075E-005                  1.6048345831502915E-099                  1.0008559821159321E-099                  3.2549626999254793E-003                  5.6657240062026528E-005                  6.5112080969138603E-005                  1.0006455692475509E-099                  1.1531073786172862E-019                  4.8661393059559395E-005                  1.0004193216684294E-099                  5.4736779860091868E-004                  2.8714994673676527E-005                  1.9718350148407800E-005                  1.0064624574292197E-099                  6.8357902664661196E-006                  1.0004715735155048E-099                  3.3177692272510096E-004                  2.7008373277895698E-006                  1.5643750053860712E-005 
                                       6                  3.6196066786674752E+000                 -7.7723916502138701E+000                  3.6455559516923453E+000                  1.3095505118924264E+000                  1.9861242384090666E+001                                        6                  6.5276473966710141E+005                 -1.7551533726388652E+001                  1.3167607934072083E+000                 -1.7605962463476463E-001                  3.6454814057384688E+000                 -8.2002743185026572E-001                  1.3190025260351292E+000                  8.4133687210501296E-001                  5.2548297704127360E-016                  0.0000000000000000E+000                  2.8398760248933735E+009                                        0                  1.9000814813092548E-008                  2.7202734071408066E-002                  2.5835022793659972E+000                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.2979622374704181E+014                  1.2502604337400963E-001                  1.2502604337400963E-001                  2.0986980384726488E+000                  0.0000000000000000E+000                  6.8260935805686729E-001                  1.8896934724039612E-017                  3.0205396332269363E-004                  2.9692253546959213E-001                  1.0716574160321874E-006                  1.3170671631748681E-030                  1.9798952695078253E-060                  3.0583436063053326E-087                  5.8024596523141121E-099                  2.2199534623981313E-003                  1.0062125670424602E-004                  2.9885841289278898E-099                  2.5275047365840753E-003                  2.3528789408662130E-006                  4.3444422314941974E-099                  1.0000056620967735E-099                  9.0602904274317275E-003                  4.7047715368214439E-005                  1.7084922040937505E-005                  1.0258914572446324E-099                  1.4154148286815008E-098                  3.2776567802151122E-007                  1.0003141400295604E-099                  1.0005828789792142E-099                  1.6706118392783378E-003                  3.5475491472107520E-006                  1.0150094788110885E-004                  1.0013137663248254E-099                  1.0090723363833388E-099                  3.5985493536547075E-005                  1.6048345831502915E-099                  1.0008559821159321E-099                  3.2549626999254793E-003                  5.6657240062026528E-005                  6.5112080969138603E-005                  1.0006455692475509E-099                  1.1531073786172862E-019                  4.8661393059559395E-005                  1.0004193216684294E-099                  5.4736779860091868E-004                  2.8714994673676527E-005                  1.9718350148407800E-005                  1.0064624574292197E-099                  6.8357902664661196E-006                  1.0004715735155048E-099                  3.3177692272510096E-004                  2.7008373277895698E-006                  1.5643750053860712E-005 
                                       7                  3.6196091325210320E+000                 -7.7723744873804268E+000                  3.6455755769530742E+000                  1.3095504865194139E+000                  1.9861219190322728E+001                                        6                  6.5276688727725984E+005                 -1.7551502682782530E+001                  1.3167607622300053E+000                 -1.7604059650908802E-001                  3.6455010326831672E+000                 -6.7410756196204746E-001                  1.3190025260351292E+000                  8.4133687210501296E-001                  5.2548297711149090E-016                  0.0000000000000000E+000                  2.8398913015344505E+009                                        0                  1.9000065684764684E-008                  2.7202885131597080E-002                  2.5835035057456563E+000                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.2979619689841241E+014                  1.2503538700338862E-001                  1.2503538700338862E-001                  2.0986980384548182E+000                  0.0000000000000000E+000                  6.8260935805686729E-001                  1.8896934724039612E-017                  3.0205396332269363E-004                  2.9692253546959213E-001                  1.0716574160321874E-006                  1.3170671631748681E-030                  1.9798952695078253E-060                  3.0583436063053326E-087                  5.8024596523350686E-099                  2.2199534623981313E-003                  1.0062125670424602E-004                  2.9885841289278898E-099                  2.5275047365840753E-003                  2.3528789408662130E-006                  4.3444422314941974E-099                  1.0000056620967735E-099                  9.0602904274317275E-003                  4.7047715368214439E-005                  1.7084922040937505E-005                  1.0258914572446324E-099                  1.4154148286815008E-098                  3.2776567802151122E-007                  1.0003141400295604E-099                  1.0005828789792142E-099                  1.6706118392783378E-003                  3.5475491472107520E-006                  1.0150094788110885E-004                  1.0013137663248254E-099                  1.0114405105785904E-099                  3.5985493536547075E-005                  1.6048345831502915E-099                  1.0008559821159321E-099                  3.2549626999254793E-003                  5.6657240062026528E-005                  6.5112080969138603E-005                  1.0006455692475509E-099                  1.1531073786172864E-019                  4.8661393059559395E-005                  1.0004193216684294E-099                  5.4736779860091868E-004                  2.8714994673676527E-005                  1.9718350148407800E-005                  1.0064624574292197E-099                  6.8357902664661196E-006                  1.0004715735155048E-099                  3.3177692272510096E-004                  2.7008373277895698E-006                  1.5643750053860712E-005 
                                       8                  3.6196126408239548E+000                 -7.7723499519133625E+000                  3.6456036329827297E+000                  1.3095504595434240E+000                  1.9861186034194869E+001                                        6                  6.5276995773621404E+005                 -1.7551458304985651E+001                  1.3167607176519405E+000                 -1.7602036526526005E-001                  3.6455290911199305E+000                 -4.9618317898706721E-001                  1.3190025260351292E+000                  8.4133687210501296E-001                  5.2548297721186842E-016                  0.0000000000000000E+000                  2.8399075446451044E+009                                        0                  1.8999269181559239E-008                  2.7203102270651935E-002                  2.5835048144969361E+000                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.2979616835479081E+014                  1.2504532160508469E-001                  1.2504532160508469E-001                  2.0986980384358600E+000                  0.0000000000000000E+000                  6.8260935805686729E-001                  1.8896934724039612E-017                  3.0205396332269363E-004                  2.9692253546959213E-001                  1.0716574160321874E-006                  1.3170671631748681E-030                  1.9798952695078253E-060                  3.0583436063053326E-087                  5.8024596523650309E-099                  2.2199534623981313E-003                  1.0062125670424602E-004                  2.9885841289278898E-099                  2.5275047365840753E-003                  2.3528789408662130E-006                  4.3444422314941966E-099                  1.0000056620967735E-099                  9.0602904274317275E-003                  4.7047715368214439E-005                  1.7084922040937505E-005                  1.0258914572446324E-099                  1.4154148286815008E-098                  3.2776567802151122E-007                  1.0003141400295604E-099                  1.0005828789792142E-099                  1.6706118392783378E-003                  3.5475491472107520E-006                  1.0150094788110885E-004                  1.0013137663248254E-099                  1.0166169734984950E-099                  3.5985493536547075E-005                  1.6048345831502915E-099                  1.0008559821159321E-099                  3.2549626999254793E-003                  5.6657240062026528E-005                  6.5112080969138603E-005                  1.0006455692475509E-099                  1.1531073786172862E-019                  4.8661393059559395E-005                  1.0004193216684294E-099                  5.4736779860091868E-004                  2.8714994673676527E-005                  1.9718350148407800E-005                  1.0064624574292197E-099                  6.8357902664661196E-006                  1.0004715735155048E-099                  3.3177692272510096E-004                  2.7008373277895698E-006                  1.5643750053860712E-005 
                                       9                  3.6196195441844909E+000                 -7.7723016813910801E+000                  3.6456588309950688E+000                  1.3095504116819554E+000                  1.9861120806974117E+001                                        6                  6.5277599952842540E+005                 -1.7551371001274241E+001                  1.3167606299220564E+000                 -1.7598446799366896E-001                  3.6455842938671128E+000                 -2.6624070201982258E-001                  1.3190025260351292E+000                  8.4133687210501296E-001                  5.2548297740933983E-016                  0.0000000000000000E+000                  2.8399363673830738E+009                                        0                  1.8997855881810574E-008                  2.7203530198978219E-002                  2.5835071323924645E+000                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.2979611771506053E+014                  1.2506294956973044E-001                  1.2506294956973044E-001                  2.0986980384022229E+000                  0.0000000000000000E+000                  6.8260935805686729E-001                  1.8896934724039612E-017                  3.0205396332269363E-004                  2.9692253546959213E-001                  1.0716574160321874E-006                  1.3170671631748681E-030                  1.9798952695078253E-060                  3.0583436063053326E-087                  5.8024596524239794E-099                  2.2199534623981313E-003                  1.0062125670424602E-004                  2.9885841289278898E-099                  2.5275047365840753E-003                  2.3528789408662130E-006                  4.3444422314941974E-099                  1.0000056620967733E-099                  9.0602904274317275E-003                  4.7047715368214439E-005                  1.7084922040937505E-005                  1.0258914572446324E-099                  1.4154148286815010E-098                  3.2776567802151122E-007                  1.0003141400295604E-099                  1.0005828789792142E-099                  1.6706118392783378E-003                  3.5475491472107520E-006                  1.0150094788110885E-004                  1.0013137663248254E-099                  1.0353282564661238E-099                  3.5985493536547075E-005                  1.6048345831502915E-099                  1.0008559821159321E-099                  3.2549626999254793E-003                  5.6657240062026528E-005                  6.5112080969138603E-005                  1.0006455692475507E-099                  1.1531073786172864E-019                  4.8661393059559395E-005                  1.0004193216684294E-099                  5.4736779860091868E-004                  2.8714994673676527E-005                  1.9718350148407800E-005                  1.0064624574292197E-099                  6.8357902664661196E-006                  1.0004715735155048E-099                  3.3177692272510096E-004                  2.7008373277895698E-006                  1.5643750053860712E-005 
