# deboer 2017 r_c12_ag_o16 high rate:
# T8            RATE
60
 0.01           0.000E+00
 0.02           0.000E+00
 0.03           0.000E+00
 0.04           0.000E+00
 0.05           0.000E+00
 0.06           0.000E+00
 0.07           0.000E+00
 0.08           0.000E+00
 0.09           0.000E+00
 0.10           0.000E+00
 0.11           0.000E+00
 0.12           0.000E+00
 0.13           0.000E+00
 0.14           0.000E+00
 0.15           0.000E+00
 0.16           0.000E+00
 0.18           0.000E+00
 0.20           0.000E+00
 0.25           0.000E+00
 0.30           0.000E+00
 0.40           0.000E+00
 0.50           0.000E+00
 0.60	        7.750E-26	
 0.70	        3.750E-24	
 0.80	        9.150E-23	
 0.90	        1.350E-21	
 1.00	        1.370E-20	
 1.10	        1.030E-19	
 1.20	        6.160E-19	
 1.30	        3.040E-18	
 1.40	        1.270E-17	
 1.50	        4.690E-17	
 1.60	        1.540E-16	
 1.80	        1.260E-15	
 2.00	        7.640E-15	
 2.50	        2.800E-13	
 3.00	        4.320E-12	
 3.50	        3.810E-11	
 4.00	        2.280E-10	
 4.50	        1.030E-09	
 5.00	        3.760E-09	
 6.00	        3.160E-08	
 7.00	        1.720E-07	
 8.00	        6.950E-07	
 9.00	        2.260E-06	
 10.00	        6.240E-06	
 12.50	        4.770E-05	
 15.00	        2.360E-04	
 17.50	        8.890E-04	
 20.00	        2.800E-03	
 25.00	        1.870E-02	
 30.00	        8.180E-02	
 35.00	        2.590E-01	
 40.00	        6.590E-01	
 50.00	        2.860E+00	
 60.00	        9.170E+00	
 70.00	        2.380E+01	
 80.00	        5.160E+01	
 90.00	        9.650E+01	
 100.00	        1.610E+02
