#  r_he4_he4_he4_to_c12 low rate: 
# T8            RATE      
60
0.01 0.000E+00
0.02 0.000E+00
0.03 0.000E+00
0.04 0.000E+00
0.05 0.000E+00
0.06 0.000E+00
0.07 0.000E+00
0.08 0.000E+00
0.09 0.000E+00
0.1 2.13027387121E-71
0.11 4.32100591716E-69
0.12 4.78846153846E-67
0.13 3.23964497041E-65
0.14 1.46E-63
0.15 4.65014792899E-62
0.16 1.11020710059E-60
0.18 3.06952662722E-58
0.2 3.96076980015E-56
0.25 8.12639405204E-52
0.3 1.1E-47
0.4 4.03863987635E-41
0.5 7.88253477589E-37
0.6 9.08739365816E-34
0.7 2.32939322301E-31
0.8 8.1811965812E-29
0.9 2.18047079337E-26
1.0 2.04965156794E-24
1.1 8.34120734908E-23
1.2 1.78970331588E-21
1.3 2.34960767219E-20
1.4 2.10034904014E-19
1.5 1.38066202091E-18
1.6 7.11082024433E-18
1.8 1.05061082024E-16
2.0 8.81429816914E-16
2.5 3.64834205934E-14
3.0 3.95021834061E-13
3.5 2.01047120419E-12
4.0 6.48209606987E-12
4.5 1.54061135371E-11
5.0 2.9807860262E-11
6.0 7.4572425829E-11
7.0 1.3394575678E-10
8.0 1.96076721883E-10
9.0 2.53973799127E-10
10.0 3.00872600349E-10
12.5 3.70993031359E-10
15.0 3.87043478261E-10
17.5 3.71858864028E-10
20.0 3.43949579832E-10
25.0 2.85995457986E-10
30.0 2.44974226804E-10
35.0 2.21917808219E-10
40.0 2.10881078479E-10
50.0 2.04467213115E-10
60.0 2.03597122302E-10
70.0 1.98115259152E-10
80.0 1.89281924301E-10
90.0 1.77626527051E-10
100.0 1.65354058722E-10
