                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      3.6299999999999999E-001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                     717                                      745                  2.1734780546966681E+008                  7.2310917061472564E+000                  3.6300000000000004E-001                  3.2858585075596295E+001                 -9.8999999999999986E+001                  2.2510834548113392E-002                  1.0000000000000000E+000                  2.8210228783039359E-001                  5.8942016042674183E-002                  7.8127631482737187E-008                  1.0000000000000000E+000                  2.8210228783039359E-001                  5.8942016042674183E-002                  7.8127631482737187E-008                 -1.7218803060383789E+000                 -5.9270355521704843E+001                 -9.8999999999999986E+001                 -1.7218803060383792E+000                 -1.7219462055206518E+000                 -5.5408155640096401E+000                 -5.9270355521704843E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5712142685637192E+000                 -1.7307354843185585E+000                 -4.8453744283409084E-001                  4.9668708641174195E+000                  2.7198481170050119E-014                  6.9203657355510932E+000                  1.9383293853243895E+000                  1.6991782917372074E+001                  1.9383293853243895E+000                  6.9203657355510932E+000                  6.2086623109208550E-001                  8.4965363474829192E-001                  1.2977906082572879E+000                  6.9898858507519690E-001                  2.8005525816726323E-001                  3.4409863626700906E-003                  9.3604492760941509E-003                  3.4416073002449276E-003                  9.3604492797741742E-003                  2.5404070760360531E-001                  1.0163129813549809E-001                                        0                                        0                                        4 
                                     718                                      752                  2.3777802118397820E+008                  7.3102729521948815E+000                  3.6300000000000004E-001                  3.2858585075596295E+001                 -9.8999999999999986E+001                  2.5290326987906595E-002                  1.0000000000000000E+000                  2.5995539928404027E-001                  6.7246808561013116E-002                  7.8127632260764041E-008                  1.0000000000000000E+000                  2.5995539928404027E-001                  6.7246808561013116E-002                  7.8127632260764041E-008                 -1.7170270589683461E+000                 -5.9282884730289126E+001                 -9.8999999999999986E+001                 -1.7170270589683461E+000                 -1.7170913957386946E+000                 -5.5463842823590443E+000                 -5.9282884730289126E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5711519276786685E+000                 -1.7298045436466551E+000                 -4.8394729072803733E-001                  4.9656905599053127E+000                  1.0316910708911663E-013                  6.9202783601635263E+000                  1.9335837179478397E+000                  1.6986789980141705E+001                  1.9335837179478397E+000                  6.9202783601635263E+000                  6.2092379555457955E-001                  8.4960599866013098E-001                  1.2979377947215107E+000                  6.9886147085450456E-001                  2.8008682902424625E-001                  3.4408829786036271E-003                  9.3604492754497687E-003                  3.4416072752032887E-003                  9.3604492797741447E-003                  2.5403152816633223E-001                  1.0163230657393579E-001                                        0                                        0                                        4 
                                     719                                      750                  2.6229428004115191E+008                  7.3894541982425057E+000                  3.6300000000000004E-001                  3.2858585075596295E+001                 -9.8999999999999986E+001                  3.2715500559705367E-002                  1.0000000000000000E+000                  2.3458143348235924E-001                  8.7421581402719051E-002                  7.8127632427514309E-008                  1.0000000000000000E+000                  2.3458143348235924E-001                  8.7421581402719051E-002                  7.8127632427514309E-008                 -1.7168556456726838E+000                 -5.9318827982996531E+001                 -1.7459739748510909E+001                 -1.7168556456726838E+000                 -1.7169178962444895E+000                 -5.5605277368687451E+000                 -5.9318827982996531E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5711002404704320E+000                 -1.7283963101464006E+000                 -4.8313979956143827E-001                  4.9640755775721139E+000                  1.1785730552879650E-013                  6.9198194593997231E+000                  1.9295293429795837E+000                  1.6982164870493058E+001                  1.9295293429795837E+000                  6.9198194593997231E+000                  6.2095369216076524E-001                  8.4958154549536247E-001                  1.2980150497908514E+000                  6.9879421081928372E-001                  2.8009903152024884E-001                  3.4409044457208013E-003                  9.3604492756184567E-003                  3.4416072080131737E-003                  9.3604492797740458E-003                  2.5402076426654296E-001                  1.0163364855451162E-001                                        0                                        0                                        4 
                                     720                                      751                  2.9171379066976035E+008                  7.4686354442901308E+000                  3.6300000000000004E-001                  3.2858585075596295E+001                 -9.8999999999999986E+001                  3.5692021441269629E-002                  1.0000000000000000E+000                  2.1086440405102436E-001                  9.6381190442728859E-002                  7.8127632427731123E-008                  1.0000000000000000E+000                  2.1086440405102436E-001                  9.6381190442728859E-002                  7.8127632427731123E-008                 -1.7142378221695302E+000                 -5.9377447112893954E+001                 -1.7459739748510909E+001                 -1.7142378221695300E+000                 -1.7142965274973410E+000                 -5.5833739683076278E+000                 -5.9377447112893954E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5710441492996319E+000                 -1.7263642000826092E+000                 -4.8201156218794178E-001                  4.9618191028251211E+000                  1.3757726151294002E-013                  6.9189971643778980E+000                  1.9250586351490708E+000                  1.6976728817232502E+001                  1.9250586351490708E+000                  6.9189971643778980E+000                  6.2102700410670364E-001                  8.4952190982812836E-001                  1.2981976343545272E+000                  6.9863714780938879E-001                  2.8014270228690191E-001                  3.4408011434980874E-003                  9.3604492749983469E-003                  3.4416070557626486E-003                  9.3604492797737925E-003                  2.5400827250988040E-001                  1.0163552705383580E-001                                        0                                        0                                        4 
                                     721                                      753                  3.2701720342409050E+008                  7.5478166903377559E+000                  3.6300000000000004E-001                  3.2858585075596295E+001                 -9.8999999999999986E+001                  5.0498239601415133E-002                  1.0000000000000000E+000                  1.6770689156602586E-001                  1.3665373598487840E-001                  7.8127631594413320E-008                  1.0000000000000000E+000                  1.6770689156602586E-001                  1.3665373598487840E-001                  7.8127631594413320E-008                 -1.7186667250913554E+000                 -5.9424305159955260E+001                 -9.8999999999999986E+001                 -1.7186667250913554E+000                 -1.7187236443589429E+000                 -5.6012201925804455E+000                 -5.9424305159955260E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5710181803773953E+000                 -1.7249438985249692E+000                 -4.8124947356464859E-001                  4.9602949255785349E+000                  7.7571654806659409E-014                  6.9182993645370088E+000                  1.9227552940031403E+000                  1.6973686158311459E+001                  1.9227552940031403E+000                  6.9182993645370088E+000                  6.2102979426870741E-001                  8.4952070968254778E-001                  1.2982046694098350E+000                  6.9862999004004323E-001                  2.8013560625623984E-001                  3.4409129513025341E-003                  9.3604492757107024E-003                  3.4416063170081713E-003                  9.3604492797722313E-003                  2.5399351333279596E-001                  1.0163779888268347E-001                                        0                                        0                                        4 
                                     722                                      753                  3.6938129872928661E+008                  7.6269979363853802E+000                  3.6300000000000004E-001                  3.2858585075596295E+001                 -9.8999999999999986E+001                  3.6300000000000004E-001                  1.0000000000000000E+000                  7.8127631649924471E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8127631649924471E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7628629108262681E+000                 -5.9417083714005543E+001                 -1.7459739748510909E+001                 -1.7628629108262679E+000                 -1.7629289341624470E+000                 -5.5809827677969643E+000                 -5.9417083714005543E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5713171544181024E+000                 -1.7304617326251068E+000                 -4.8460633869613118E-001                  4.9670086558415001E+000                 -2.8247353952753098E-013                  6.9174765037154504E+000                  1.9464913207788108E+000                  1.6997568030233449E+001                  1.9464913207788108E+000                  6.9174765037154504E+000                  6.2055944909716843E-001                  8.4988445233432974E-001                  1.2970390700095593E+000                  6.9965066819502464E-001                  2.7999460208565324E-001                  3.4414855346685288E-003                  9.3604492790674062E-003                  3.4414855346848439E-003                  9.3604492790674027E-003                  2.5397319256231182E-001                  1.0163804055629511E-001                                        0                                        0                                        5 
                                     723                                      739                  4.2021821309552199E+008                  7.7061791824330053E+000                  3.6300000000000004E-001                  3.2858585075596295E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.7615195704543438E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.7615195704543438E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7367442552623582E+000                 -5.9266259371022755E+001                 -1.7158709752846928E+001                 -1.7367442552623580E+000                 -1.7368129762296898E+000                 -5.5374736625021326E+000                 -5.9266259371022755E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5713082322057224E+000                 -1.7318253042068874E+000                 -4.8527028006226236E-001                  4.9683365385737623E+000                 -4.6496382406914604E-014                  6.9202936906639652E+000                  1.9438691281200089E+000                  1.6997421254103816E+001                  1.9438691281200089E+000                  6.9202936906639652E+000                  6.2083103380223637E-001                  8.4966129151620007E-001                  1.2977150535515831E+000                  6.9907073310484391E-001                  2.8017345157683610E-001                  3.4400141025701532E-003                  9.3604492674813893E-003                  3.4414855194334435E-003                  9.3604492790673923E-003                  2.5394493008902891E-001                  1.0164574441972039E-001                                        0                                        0                                        5 
                                     724                                      746                  4.8122251033500439E+008                  7.7853604284806304E+000                  3.6300000000000004E-001                  3.2858585075596295E+001                 -9.8999999999999986E+001                  1.5419403465941431E-002                  1.0000000000000000E+000                  2.7050162600242955E-001                  4.0677738048866430E-002                  7.8127632594484778E-008                  1.0000000000000000E+000                  2.7050162600242955E-001                  4.0677738048866430E-002                  7.8127632594484778E-008                 -1.7192212477300042E+000                 -5.9289674160387044E+001                 -9.8999999999999986E+001                 -1.7192212477300042E+000                 -1.7192854163922158E+000                 -5.5497146577548033E+000                 -5.9289674160387044E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5711734887405702E+000                 -1.7293607635163875E+000                 -4.8376852278670746E-001                  4.9653330240226525E+000                  8.7960817639745226E-014                  6.9201729993857670E+000                  1.9330040174156280E+000                  1.6986028327405709E+001                  1.9330040174156280E+000                  6.9201729993857670E+000                  6.2101461596770069E-001                  8.4950900467467583E-001                  1.2981792216945216E+000                  6.9867199800928925E-001                  2.8028964548890917E-001                  3.4396724253676200E-003                  9.3604492655692245E-003                  3.4414855010433979E-003                  9.3604492790673663E-003                  2.5391758341021342E-001                  1.0164870181513257E-001                                        0                                        0                                        5 
                                     725                                      753                  5.5442766702238333E+008                  7.8645416745282546E+000                  3.6300000000000004E-001                  3.2858585075596295E+001                 -9.8999999999999986E+001                  3.0824701958429013E-002                  1.0000000000000000E+000                  2.3239195361067785E-001                  8.1546776779915897E-002                  7.8127632761238434E-008                  1.0000000000000000E+000                  2.3239195361067785E-001                  8.1546776779915897E-002                  7.8127632761238434E-008                 -1.7131097534702164E+000                 -5.9426439736352812E+001                 -9.8999999999999986E+001                 -1.7131097534702169E+000                 -1.7131657346765412E+000                 -5.6028798023416515E+000                 -5.9426439736352812E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5710389361787769E+000                 -1.7245821404734247E+000                 -4.8111010614163974E-001                  4.9600161907325173E+000                  1.3054024172267032E-013                  6.9182623308926292E+000                  1.9223341961745155E+000                  1.6973116576983507E+001                  1.9223341961745155E+000                  6.9182623308926292E+000                  6.2117310246644097E-001                  8.4938184888537860E-001                  1.2985734389611336E+000                  6.9833145891486959E-001                  2.8037149805179767E-001                  3.4396485212468456E-003                  9.3604492658594506E-003                  3.4414800917818280E-003                  9.3604492790253513E-003                  2.5388725263896744E-001                  1.0165381646925382E-001                                        0                                        0                                        5 
