                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      3.7014406999999999E-001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1403                  1.0000000000000000E+005                  5.0000000000000000E+000                  3.7014406999999999E-001                  3.2867049246593929E+001                 -9.8999999999999986E+001                  6.0636489743398816E-002                  1.0000000000000000E+000                  2.7967847825038450E-001                  1.5895341673116647E-001                  7.8127150526565070E-008                  1.0000000000000000E+000                  2.7967847825038450E-001                  1.5895341673116647E-001                  7.8127150526565070E-008                 -1.7226960939737703E+000                 -5.9188357806017756E+001                 -1.7158709752846928E+001                 -1.7226960939737703E+000                 -1.7227681285552361E+000                 -5.5029753848832499E+000                 -5.9188357806017756E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5724781092983333E+000                 -1.7108778032028742E+000                 -4.7713628374547690E-001                  4.9605327169378279E+000                 -1.1135858550331924E-011                  6.9208949911986108E+000                  1.9621256682581933E+000                  1.7016897771943746E+001                  1.9621256682581933E+000                  6.9208949911986108E+000                  6.2063005570376306E-001                  8.4984051700243590E-001                  1.2971903349857250E+000                  6.9951480037876346E-001                  2.7998646627240376E-001                  3.4414157869116090E-003                  9.3604466079884579E-003                  3.4415914313582420E-003                  9.3604466090468161E-003                  2.5903109096539023E-001                  1.0363040133233459E-001                                        0                                        0                                        8 
                                       2                                      763                  2.2000000000000000E+005                  5.0791812460476242E+000                  3.7014406999999999E-001                  3.2867049246593929E+001                 -9.8999999999999986E+001                  7.1929784226992940E-003                  1.0000000000000000E+000                  4.8638562727453494E-001                  6.4423375387416604E-002                  2.4477077786138078E-002                  1.0000000000000000E+000                  4.8638562727453494E-001                  6.4423375387416604E-002                  2.4477077786138078E-002                 -1.7226372137365507E+000                 -5.9186581978413855E+001                 -1.7459739748510909E+001                 -1.7226372137365507E+000                 -1.7227092473330630E+000                 -5.5029224424512231E+000                 -5.9186581978413855E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5724956022977610E+000                 -1.7108813573415276E+000                 -4.7717304681365963E-001                  4.9606062430741931E+000                 -1.1045464707512144E-012                  6.9209688980533386E+000                  1.9620962768136940E+000                  1.7016938921153848E+001                  1.9620962768136940E+000                  6.9209688980533386E+000                  6.2063054405085116E-001                  8.4984006204843154E-001                  1.2971918207059154E+000                  6.9951348962057003E-001                  2.7998657416129485E-001                  3.4414138744090026E-003                  9.3604466079751352E-003                  3.4415914313579909E-003                  9.3604466090468144E-003                  2.5903102886789670E-001                  1.0363040294207541E-001                                        0                                        0                                        4 
                                       3                                      752                  3.6400000000000000E+005                  5.1583624920952493E+000                  3.7014406999999999E-001                  3.2867049246593929E+001                 -9.8999999999999986E+001                  1.1301347823123910E-003                  1.0000000000000000E+000                  4.7511340702957794E-001                  1.7056732759198612E-003                  7.8127147750140146E-008                  1.0000000000000000E+000                  4.7511340702957794E-001                  1.7056732759198612E-003                  7.8127147750140146E-008                 -1.7225055086971117E+000                 -5.9185136992659743E+001                 -1.7459739748510909E+001                 -1.7225055086971117E+000                 -1.7225775568354944E+000                 -5.5027030798006216E+000                 -5.9185136992659743E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5724893204939141E+000                 -1.7110112347449444E+000                 -4.7722542190767436E-001                  4.9607109932622224E+000                 -1.3112352167993686E-012                  6.9210140619804994E+000                  1.9620042971285714E+000                  1.7016887697824927E+001                  1.9620042971285714E+000                  6.9210140619804994E+000                  6.2063125972447797E-001                  8.4983943464024769E-001                  1.2971938482472973E+000                  6.9951170748091496E-001                  2.7998677371978076E-001                  3.4414102065407400E-003                  9.3604466079472860E-003                  3.4415914313576435E-003                  9.3604466090468144E-003                  2.5903095476057941E-001                  1.0363040494692571E-001                                        0                                        0                                        3 
                                       4                                      752                  5.3680000000000000E+005                  5.2375437381428744E+000                  3.7014406999999999E-001                  3.2867049246593929E+001                 -9.8999999999999986E+001                  1.5794332504247817E-003                  1.0000000000000000E+000                  4.7220870725198116E-001                  3.2959310493292371E-003                  7.8127147750140146E-008                  1.0000000000000000E+000                  4.7220870725198116E-001                  3.2959310493292371E-003                  7.8127147750140146E-008                 -1.7223450597794954E+000                 -5.9184030755621720E+001                 -9.8999999999999986E+001                 -1.7223450597794956E+000                 -1.7224171181549262E+000                 -5.5024809331217179E+000                 -5.9184030755621720E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5724822631675393E+000                 -1.7111614080619790E+000                 -4.7728639391344096E-001                  4.9608329372737554E+000                 -1.2719310682799720E-012                  6.9210450534450301E+000                  1.9619170426503272E+000                  1.7016827470441196E+001                  1.9619170426503272E+000                  6.9210450534450301E+000                  6.2063213205512280E-001                  8.4983871487877816E-001                  1.2971961818956412E+000                  6.9950965388800079E-001                  2.7998698447054882E-001                  3.4414064131928330E-003                  9.3604466079192476E-003                  3.4415914313569952E-003                  9.3604466090468109E-003                  2.5903086613666620E-001                  1.0363040724584428E-001                                        0                                        0                                        3 
                                       5                                      752                  7.4415999999999988E+005                  5.3167249841904987E+000                  3.7014406999999999E-001                  3.2867049246593929E+001                 -9.8999999999999986E+001                  7.4032035093992013E-003                  1.0000000000000000E+000                  4.6904605774795594E-001                  1.6071329080089458E-002                  7.8127147750140146E-008                  1.0000000000000000E+000                  4.6904605774795594E-001                  1.6071329080089458E-002                  7.8127147750140146E-008                 -1.7221570079004249E+000                 -5.9183589676111495E+001                 -9.8999999999999986E+001                 -1.7221570079004251E+000                 -1.7222290680098644E+000                 -5.5022824313962140E+000                 -5.9183589676111495E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5724743280378246E+000                 -1.7113325192796816E+000                 -4.7735607926286266E-001                  4.9609723079725994E+000                 -1.2112832658880287E-012                  6.9210550510428890E+000                  1.9618423864702572E+000                  1.7016759845118195E+001                  1.9618423864702572E+000                  6.9210550510428890E+000                  6.2063297207700818E-001                  8.4983807005510414E-001                  1.2971983205120405E+000                  6.9950775694321576E-001                  2.7998705934904744E-001                  3.4414053693386732E-003                  9.3604466079154781E-003                  3.4415914313567345E-003                  9.3604466090468109E-003                  2.5903075977902495E-001                  1.0363041002479978E-001                                        0                                        0                                        4 
                                       6                                      752                  9.9299199999999988E+005                  5.3959062302381238E+000                  3.7014406999999999E-001                  3.2867049246593929E+001                 -9.8999999999999986E+001                  9.4990367880556249E-003                  1.0000000000000000E+000                  4.6444384131982314E-001                  2.2138271596728765E-002                  7.8127147750140146E-008                  1.0000000000000000E+000                  4.6444384131982314E-001                  2.2138271596728765E-002                  7.8127147750140146E-008                 -1.7219339897095869E+000                 -5.9183111913093832E+001                 -1.7158709752846928E+001                 -1.7219339897095869E+000                 -1.7220060526116805E+000                 -5.5020425840590654E+000                 -5.9183111913093832E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5724652103015546E+000                 -1.7115303239239887E+000                 -4.7743674611247700E-001                  4.9611336416718279E+000                 -1.1683227803337975E-012                  6.9210658220479742E+000                  1.9617545649473966E+000                  1.7016679303208665E+001                  1.9617545649473966E+000                  6.9210658220479742E+000                  6.2063400482924225E-001                  8.4983727401363984E-001                  1.2972009432118634E+000                  6.9950543596174863E-001                  2.7998719327672039E-001                  3.4414032202582730E-003                  9.3604466079023237E-003                  3.4415914313551347E-003                  9.3604466090468109E-003                  2.5903063213704669E-001                  1.0363041338834475E-001                                        0                                        0                                        3 
                                       7                                      752                  1.2915903999999997E+006                  5.4750874762857489E+000                  3.7014406999999999E-001                  3.2867049246593929E+001                 -9.8999999999999986E+001                  9.7640823135290364E-003                  1.0000000000000000E+000                  4.6132248417154964E-001                  2.2138271596728765E-002                  7.8127147750140146E-008                  1.0000000000000000E+000                  4.6132248417154964E-001                  2.2138271596728765E-002                  7.8127147750140146E-008                 -1.7216621951408080E+000                 -5.9182499057375360E+001                 -9.8999999999999986E+001                 -1.7216621951408080E+000                 -1.7217342634348154E+000                 -5.5017382984798022E+000                 -5.9182499057375360E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5724548906691216E+000                 -1.7117562427372157E+000                 -4.7752906625422481E-001                  4.9613182819553234E+000                 -1.1140880885913570E-012                  6.9210793134220552E+000                  1.9616493446056038E+000                  1.7016583254213959E+001                  1.9616493446056038E+000                  6.9210793134220552E+000                  6.2063541164161473E-001                  8.4983618714515885E-001                  1.2972044962448612E+000                  6.9950230025329141E-001                  2.7998744237131645E-001                  3.4413990239902017E-003                  9.3604466078736522E-003                  3.4415914313546325E-003                  9.3604466090468144E-003                  2.5903047894918135E-001                  1.0363041746738223E-001                                        0                                        0                                        4 
                                       8                                      752                  1.6499084799999995E+006                  5.5542687223333731E+000                  3.7014406999999999E-001                  3.2867049246593929E+001                 -9.8999999999999986E+001                  9.8288175042318109E-003                  1.0000000000000000E+000                  4.5713183807284374E-001                  2.6499176920438239E-002                  7.8127147750140146E-008                  1.0000000000000000E+000                  4.5713183807284374E-001                  2.6499176920438239E-002                  7.8127147750140146E-008                 -1.7213389984955072E+000                 -5.9181688518756779E+001                 -9.8999999999999986E+001                 -1.7213389984955072E+000                 -1.7214110776454485E+000                 -5.5013496926822265E+000                 -5.9181688518756779E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5724432591060702E+000                 -1.7120131038172923E+000                 -4.7763423366816060E-001                  4.9615286167831947E+000                 -1.0574273181621579E-012                  6.9210967537160188E+000                  1.9615222272720521E+000                  1.7016468408405835E+001                  1.9615222272720521E+000                  6.9210967537160188E+000                  6.2063699603547529E-001                  8.4983496073368869E-001                  1.2972085168905079E+000                  6.9949874833383940E-001                  2.7998769631169451E-001                  3.4413948867292473E-003                  9.3604466078462747E-003                  3.4415914313526406E-003                  9.3604466090468109E-003                  2.5903029509911984E-001                  1.0363042242350068E-001                                        0                                        0                                        4 
                                       9                                      752                  2.0798901759999995E+006                  5.6334499683809982E+000                  3.7014406999999999E-001                  3.2867049246593929E+001                 -9.8999999999999986E+001                  9.7951561544199518E-003                  1.0000000000000000E+000                  4.5265014997225805E-001                  2.2138271596728765E-002                  7.8127147750140146E-008                  1.0000000000000000E+000                  4.5265014997225805E-001                  2.2138271596728765E-002                  7.8127147750140146E-008                 -1.7209489137175131E+000                 -5.9180612056214073E+001                 -1.7459739748510909E+001                 -1.7209489137175129E+000                 -1.7210210103059571E+000                 -5.5008545580934873E+000                 -5.9180612056214073E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5724301541432646E+000                 -1.7123044266795957E+000                 -4.7775368517370104E-001                  4.9617675197942761E+000                 -1.0006845104172625E-012                  6.9211194595902263E+000                  1.9613681003691767E+000                  1.7016330609529046E+001                  1.9613681003691767E+000                  6.9211194595902263E+000                  6.2063901187573933E-001                  8.4983339593665741E-001                  1.2972136277301489E+000                  6.9949423926910836E-001                  2.7998806595593345E-001                  3.4413888357719830E-003                  9.3604466078049120E-003                  3.4415914313488272E-003                  9.3604466090468109E-003                  2.5903007444641307E-001                  1.0363042846123136E-001                                        0                                        0                                        3 
