                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      3.6299999999999999E-001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      592                  1.0000000000000001E-005                 -4.9999999999999991E+000                  3.6300000000000004E-001                  3.2858585075596295E+001                 -9.8999999999999986E+001                  3.6299994162921378E-001                  9.9999982761299910E-001                  7.8127627905783225E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999982761299910E-001                  7.8127627905783225E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8637788841342502E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8637788841342502E+001                 -1.8637788841342502E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5569577017791074E+000                  1.0439745059122694E+000                  9.3133068585054690E-001                  2.1351346067481440E+000                 -1.7154705471089156E-006                  5.5726756545421594E+000                 -2.1472936297949481E+000                  1.1543451272792000E+001                 -2.1472936297949481E+000                  5.5726756545421594E+000                  6.2196313510199541E-001                  8.5000496627254207E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059854E-003                  9.3604492797742141E-003                  3.4416073257059884E-003                  9.3604492797742158E-003                  2.5410000000000027E-001                  1.0162918345840381E-001                                        0                                        0                                        6 
                                       2                                      594                  2.2000000000000003E-005                 -4.9208187539523749E+000                  3.6300000000000004E-001                  3.2858585075596295E+001                 -9.8999999999999986E+001                  3.6299994162921390E-001                  9.9999982761299910E-001                  7.8127627905783225E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999982761299910E-001                  7.8127627905783225E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8637788836730568E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8637788836730568E+001                 -1.8637788836730568E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5569562366244245E+000                  1.0439686290212467E+000                  9.3133067771440048E-001                  2.1351346230204369E+000                 -5.3253008558679603E-005                  5.5726756547933043E+000                 -2.1472936290560125E+000                  1.1543451273782678E+001                 -2.1472936290560125E+000                  5.5726756547933043E+000                  6.2196313510136270E-001                  8.5000496627254207E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059854E-003                  9.3604492797742141E-003                  3.4416073257059884E-003                  9.3604492797742158E-003                  2.5410000000000027E-001                  1.0162918345840381E-001                                        0                                        0                                        6 
                                       3                                      594                  3.6400000000000004E-005                 -4.8416375079047498E+000                  3.6300000000000004E-001                  3.2858585075596295E+001                 -9.8999999999999986E+001                  3.6299994162416399E-001                  9.9999982761299910E-001                  7.8127627905783225E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999982761299910E-001                  7.8127627905783225E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8637788831200861E+001                 -9.8999999999999986E+001                 -3.4317419505693856E+001                 -1.8637788831200861E+001                 -1.8637788831200861E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5569546720089820E+000                  1.0439623404964282E+000                  9.3133066268287734E-001                  2.1351346530834832E+000                 -8.1987865548289061E-005                  5.5726756550944128E+000                 -2.1472936281696899E+000                  1.1543451274970828E+001                 -2.1472936281696899E+000                  5.5726756550944128E+000                  6.2196313510060486E-001                  8.5000496627254207E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059854E-003                  9.3604492797742141E-003                  3.4416073257059884E-003                  9.3604492797742158E-003                  2.5410000000000027E-001                  1.0162918345840381E-001                                        0                                        0                                        6 
                                       4                                      594                  5.3680000000000001E-005                 -4.7624562618571247E+000                  3.6300000000000004E-001                  3.2858585075596295E+001                 -9.8999999999999986E+001                  3.6299994162449462E-001                  9.9999982761299910E-001                  7.8127627905783225E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999982761299910E-001                  7.8127627905783225E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8637788824597443E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8637788824597443E+001                 -1.8637788824597443E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5569540211651050E+000                  1.0439597273421206E+000                  9.3133065779347624E-001                  2.1351346628622849E+000                 -2.2223989691378652E-005                  5.5726756554539145E+000                 -2.1472936271088985E+000                  1.1543451276391943E+001                 -2.1472936271088985E+000                  5.5726756554539145E+000                  6.2196313509970369E-001                  8.5000496627254207E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059854E-003                  9.3604492797742141E-003                  3.4416073257059884E-003                  9.3604492797742158E-003                  2.5410000000000027E-001                  1.0162918345840381E-001                                        0                                        0                                        6 
                                       5                                      594                  7.4416000000000000E-005                 -4.6832750158095005E+000                  3.6300000000000004E-001                  3.2858585075596295E+001                 -9.8999999999999986E+001                  3.6299994162681359E-001                  9.9999982761299910E-001                  7.8127627905783225E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999982761299910E-001                  7.8127627905783225E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8637788816690776E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8637788816690776E+001                 -1.8637788816690776E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5569539000356780E+000                  1.0439592445922732E+000                  9.3133065867740661E-001                  2.1351346610944244E+000                  3.3481380008627831E-006                  5.5726756558843258E+000                 -2.1472936258374600E+000                  1.1543451278094770E+001                 -2.1472936258374600E+000                  5.5726756558843258E+000                  6.2196313509862733E-001                  8.5000496627254207E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059854E-003                  9.3604492797742141E-003                  3.4416073257059884E-003                  9.3604492797742158E-003                  2.5410000000000027E-001                  1.0162918345840381E-001                                        0                                        0                                        6 
                                       6                                      594                  9.9299199999999986E-005                 -4.6040937697618753E+000                  3.6300000000000004E-001                  3.2858585075596295E+001                 -9.8999999999999986E+001                  3.6299994162777027E-001                  9.9999982761299910E-001                  7.8127627905783225E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999982761299910E-001                  7.8127627905783225E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8637788807209152E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8637788807209152E+001                 -1.8637788807209152E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5569539968122448E+000                  1.0439596380848251E+000                  9.3133066187054947E-001                  2.1351346547081387E+000                  1.0079111821512439E-005                  5.5726756564004551E+000                 -2.1472936243122938E+000                  1.1543451280137234E+001                 -2.1472936243122938E+000                  5.5726756564004551E+000                  6.2196313509733747E-001                  8.5000496627254207E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059854E-003                  9.3604492797742141E-003                  3.4416073257059884E-003                  9.3604492797742158E-003                  2.5410000000000027E-001                  1.0162918345840381E-001                                        0                                        0                                        6 
                                       7                                      594                  1.2915903999999998E-004                 -4.5249125237142502E+000                  3.6300000000000004E-001                  3.2858585075596295E+001                 -9.8999999999999986E+001                  3.6299994162809690E-001                  9.9999982761299910E-001                  7.8127627905783225E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999982761299910E-001                  7.8127627905783225E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8637788795832435E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8637788795832435E+001                 -1.8637788795832435E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5569541708890933E+000                  1.0439603421930586E+000                  9.3133066577096857E-001                  2.1351346469073005E+000                  1.0259676886374326E-005                  5.5726756570197411E+000                 -2.1472936224821950E+000                  1.1543451282588016E+001                 -2.1472936224821950E+000                  5.5726756570197411E+000                  6.2196313509578971E-001                  8.5000496627254207E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059854E-003                  9.3604492797742141E-003                  3.4416073257059884E-003                  9.3604492797742158E-003                  2.5410000000000027E-001                  1.0162918345840381E-001                                        0                                        0                                        6 
                                       8                                      594                  1.6499084799999998E-004                 -4.4457312776666260E+000                  3.6300000000000004E-001                  3.2858585075596295E+001                 -9.8999999999999986E+001                  3.6299994162821059E-001                  9.9999982761299910E-001                  7.8127627905783225E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999982761299910E-001                  7.8127627905783225E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8637788782180849E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8637788782180849E+001                 -1.8637788782180849E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5569543626501008E+000                  1.0439611170061140E+000                  9.3133066965548172E-001                  2.1351346391382742E+000                  8.5148588728178775E-006                  5.5726756577628596E+000                 -2.1472936202861233E+000                  1.1543451285528885E+001                 -2.1472936202861233E+000                  5.5726756577628596E+000                  6.2196313509393264E-001                  8.5000496627254207E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059854E-003                  9.3604492797742141E-003                  3.4416073257059884E-003                  9.3604492797742158E-003                  2.5410000000000027E-001                  1.0162918345840381E-001                                        0                                        0                                        6 
                                       9                                      594                  2.0798901759999997E-004                 -4.3665500316190009E+000                  3.6300000000000004E-001                  3.2858585075596295E+001                 -9.8999999999999986E+001                  3.6299994162825577E-001                  9.9999982761299910E-001                  7.8127627905783225E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999982761299910E-001                  7.8127627905783225E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8637788765796042E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8637788765796042E+001                 -1.8637788765796042E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5569545458505680E+000                  1.0439618568338416E+000                  9.3133067316841101E-001                  2.1351346321124156E+000                  6.4169510709016491E-006                  5.5726756586547639E+000                 -2.1472936176505835E+000                  1.1543451289058343E+001                 -2.1472936176505835E+000                  5.5726756586547639E+000                  6.2196313509170320E-001                  8.5000496627254207E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059854E-003                  9.3604492797742141E-003                  3.4416073257059884E-003                  9.3604492797742158E-003                  2.5410000000000027E-001                  1.0162918345840381E-001                                        0                                        0                                        6 
