                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                    1054                                     1092                  1.0735960193147765E+007                  4.1792179878247140E+000                  1.5000000000000000E+001                  3.4474769709615863E+001                 -9.8999999999999986E+001                  1.4525436610140143E+000                  9.6508803472563937E-002                  7.8128428062206894E-008                  4.0648226596495429E-001                  3.5906794688857741E-001                  9.6508803472563937E-002                  7.8128428062206894E-008                  4.0648226596495429E-001                  3.5906794688857741E-001                  4.6858715950541860E+000                 -1.0879324849241058E+001                 -7.9979161609886722E+000                  4.6858715950542758E+000                  3.7417927116167082E-001                  4.6858504064386093E+000                 -1.0879324849241058E+001                  2.9274721077796122E+033                  4.8701623154234319E+033                  8.5455183831335395E+033                  9.9468292889862545E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.7596762019978809E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3493140512311301E+000                  4.6666660029697908E+000                  1.1579637354752605E+000                  3.2980531415182850E+000                  2.7086850554205388E-007                  7.8691878138405098E+000                  2.1192548085232961E+000                  1.7832713382834157E+001                  2.1192548085232961E+000                  7.8691878138405098E+000                  1.3398190243249894E+000                  5.0000000000000000E-001                  4.0589446642417233E+000                  0.0000000000000000E+000                  9.8060088322207206E-001                  3.1097806438298771E-004                  3.7986060856990734E-004                  3.4416073257059771E-003                  9.3604492797742227E-003                  7.5641585820863169E+000                  7.1370315740732195E+000                                        0                                        0                                        6 
                                    1055                                     1142                  1.0748046899606016E+007                  4.0823079748166569E+000                  1.5000000000000000E+001                  3.4474769709615863E+001                 -9.8999999999999986E+001                  6.1033877138771321E-002                  5.0056157444581673E-001                  2.5005643195204952E-001                  3.2640243446468977E-003                  7.8128427208970688E-008                  5.0056157444581673E-001                  2.5005643195204952E-001                  3.2640243446468977E-003                  7.8128427208970688E-008                  4.6908953756892036E+000                 -4.8895217702217773E+000                 -4.1204003626589767E+000                  4.6908953764739634E+000                  9.5719855524054298E-001                  4.6908151843279136E+000                 -4.8895217702217773E+000                  4.1928101292113795E+033                  4.8703134765048235E+033                  7.5236182059352073E+033                  8.4395218937749771E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8211523652844113E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2789092573630221E+000                  4.6853682377496835E+000                  1.3081244406014230E+000                  2.9977317312659602E+000                  5.0959300922555525E-007                  7.9791820484645060E+000                  2.6100789218006422E+000                  1.8418921268958961E+001                  2.6100789218006422E+000                  7.9791820484645060E+000                  1.3398190244982759E+000                  5.0000000000000000E-001                  4.0589446658320947E+000                  9.5366418179951021E-029                  9.8060088277015278E-001                  3.1097821554558838E-004                  3.7986066349961174E-004                  3.4416073257059736E-003                  9.3604492797742089E-003                  7.5581652787791045E+000                  7.1430272917025439E+000                                        0                                        0                                        6 
                                    1060                                     1549                  1.0768143708168272E+007                  2.9956979184484132E+000                  1.4999669473775073E+001                  3.4474760139796054E+001                 -6.7636701849774159E+000                  7.3796581456432220E-001                  3.0836244682365821E-001                  2.4825506825889143E-001                  4.8940737069110174E-002                  7.8130155900524301E-008                  3.0836244682365821E-001                  2.4825506825889143E-001                  4.8940737069110174E-002                  7.8130155900524301E-008                  4.5850863140015452E+000                  3.1983905173092118E+000                  3.9558434889981302E+000                  4.6908965175321402E+000                 -1.0540593666511686E+000                  4.5850853171301615E+000                  3.1983905173092118E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5354348047575213E+032                  1.1815823280335425E+033                  5.3951837092987367E+033                  5.5375140931678387E+033                  6.5991874426891035E+033                  6.7809588952645558E+033                  2.9997667853915719E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8450889133339414E+000                  4.5057073859377201E+000                  2.0859347027536042E+000                  1.4421016371417872E+000                  1.0990138738173013E-004                  8.1803290852896673E+000                  3.1277824590439312E+000                  1.9145715566704457E+001                  3.1277824590439312E+000                  8.1803290852896673E+000                  1.3407456382619944E+000                  5.0000000000000000E-001                  4.0674608044377880E+000                  0.0000000000000000E+000                  9.7817720140721565E-001                  1.3913382211664617E-003                  3.8083336717822003E-004                  3.4416073257059663E-003                  9.3604492797742123E-003                  7.5474650477771146E+000                  7.1516062152610473E+000                                        2                                        0                                       12 
                                    1065                                     1570                  1.0769521353523094E+007                  1.6080578664161878E+000                  1.4999405070309363E+001                  3.4474752484295486E+001                 -6.7017810962306648E+000                  1.0397187576361886E+000                  6.9037657247760786E-002                  7.8131533909342465E-008                  9.9725039051121178E-001                  9.8742673707054462E-001                  6.9037657247760786E-002                  7.8131533909342465E-008                  9.9725039051121178E-001                  9.8742673707054462E-001                  4.5703976548475422E+000                  3.2053780309061839E+000                  3.9834713306841358E+000                  4.6850136960863589E+000                 -1.0562317089693853E+000                  4.5703966288284068E+000                  3.2053780309061839E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7865362986673070E+032                  1.2102566956680752E+033                  5.5080617946991962E+033                  5.6236046916870408E+033                  6.5882428963786229E+033                  6.7525965054818041E+033                  3.0067031490988363E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7435241415761551E+000                  4.4243467767186280E+000                  2.2483839416596307E+000                  1.1171955038291630E+000                  1.5467855509453674E-004                  8.1810808147294214E+000                  3.1153972080835919E+000                  1.9135451150683888E+001                  3.1153972080835919E+000                  8.1810808147294214E+000                  1.3407029673864845E+000                  5.0000000000000000E-001                  4.0670681075927524E+000                  0.0000000000000000E+000                  9.7830196110746770E-001                  1.3020263829013965E-003                  3.8069241505566239E-004                  3.4416073257059598E-003                  9.3604492797742106E-003                  7.5467580752494081E+000                  7.1514581664328629E+000                                        5                                        0                                        6 
                                    1070                                     1566                  1.0769658626264891E+007                  1.3801922601680376E+000                  1.4999377913372280E+001                  3.4474751697989724E+001                 -6.7053002964856043E+000                  1.0497290637048915E+000                  6.9569774299852005E-002                  7.8131675351755803E-008                  5.5752951915483751E-001                  5.0595649100972251E-001                  6.9569774299852005E-002                  7.8131675351755803E-008                  5.5752951915483751E-001                  5.0595649100972251E-001                  4.5691008141223168E+000                  3.2047762514059741E+000                  3.9829927989896898E+000                  4.6839027176466601E+000                 -1.0558328549229996E+000                  4.5690997840892731E+000                  3.2047762514059741E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.8000011947538013E+032                  1.2126877425189189E+033                  5.5234797714479616E+033                  5.6324603073036968E+033                  6.5875091465590101E+033                  6.7503668696891623E+033                  3.0121000070962736E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7316651946368640E+000                  4.4110236080266816E+000                  2.2654402511922389E+000                  1.0830820984581868E+000                  1.6292071253564587E-004                  8.1811114420389686E+000                  3.1142020617861594E+000                  1.9134405899266795E+001                  3.1142020617861594E+000                  8.1811114420389686E+000                  1.3407096096054776E+000                  4.9999999999999994E-001                  4.0671292320920696E+000                  0.0000000000000000E+000                  9.7828576457052241E-001                  1.3062737600682862E-003                  3.8069111093421820E-004                  3.4416073257059576E-003                  9.3604492797742089E-003                  7.5466876149966460E+000                  7.1514421235646406E+000                                        5                                        0                                        5 
                                    1075                                     1592                  1.0769771324179009E+007                  1.3455535391577431E+000                  1.4999355823198579E+001                  3.4474751058386694E+001                 -6.7094469455181533E+000                  1.0637957494248071E+000                  7.0811193385534210E-002                  7.8131793479485623E-008                  5.5753034025168957E-001                  5.0595712472916543E-001                  7.0811193385534210E-002                  7.8131793479485623E-008                  5.5753034025168957E-001                  5.0595712472916543E-001                  4.5679696008211153E+000                  3.2042665870866935E+000                  3.9819836469450833E+000                  4.6828164465094897E+000                 -1.0555648741886032E+000                  4.5679685674641926E+000                  3.2042665870866935E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.8089024736067552E+032                  1.2144365970640342E+033                  5.5349894888348582E+033                  5.6396844262009576E+033                  6.5869064349277772E+033                  6.7485526012651105E+033                  3.0121000070963126E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7214273278670009E+000                  4.3988854452742183E+000                  2.2798469033557343E+000                  1.0542681545281631E+000                  1.7313311544182313E-004                  8.1811351197163606E+000                  3.1132537259892401E+000                  1.9133574848961558E+001                  3.1132537259892401E+000                  8.1811351197163606E+000                  1.3407186565922735E+000                  5.0000000000000000E-001                  4.0672124882597158E+000                  0.0000000000000000E+000                  9.7826309379602350E-001                  1.3138874787465547E-003                  3.8069372142385407E-004                  3.4416073257059511E-003                  9.3604492797742106E-003                  7.5466300282459899E+000                  7.1514290171939683E+000                                        5                                        0                                        5 
                                    1080                                     1599                  1.0769878976478903E+007                  1.3249506640253816E+000                  1.4999334943152727E+001                  3.4474750453821059E+001                 -6.7142849810514651E+000                  1.0718274171574913E+000                  7.0811291959300249E-002                  7.8131900616007499E-008                  5.5005066961231108E-001                  5.0595763883889666E-001                  7.0811291959300249E-002                  7.8131900616007499E-008                  5.5005066961231108E-001                  5.0595763883889666E-001                  4.5668087779686966E+000                  3.2037844553159558E+000                  3.9796583099899676E+000                  4.6814465443607602E+000                 -1.0553680853604426E+000                  4.5668077413764259E+000                  3.2037844553159558E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.8134531725371221E+032                  1.2157174048549648E+033                  5.5452067636401696E+033                  5.6462396974544205E+033                  6.5863211849527019E+033                  6.7467773334268680E+033                  3.0121000070962936E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7112155062604995E+000                  4.3864260794316072E+000                  2.2940408636474316E+000                  1.0258796293791386E+000                  1.8544122819650512E-004                  8.1811577244078357E+000                  3.1123771495053809E+000                  1.9132805265935392E+001                  3.1123771495053809E+000                  8.1811577244078357E+000                  1.3407357355243386E+000                  4.9999999999999994E-001                  4.0673696657612037E+000                  0.0000000000000000E+000                  9.7821951437723742E-001                  1.3306031219573326E-003                  3.8070417764050717E-004                  3.4416073257059468E-003                  9.3604492797742106E-003                  7.5465752811215241E+000                  7.1514165571955211E+000                                        5                                        0                                        5 
                                    1085                                     1577                  1.0769982023838516E+007                  1.3046897521184591E+000                  1.4999315198122167E+001                  3.4474749882118147E+001                 -6.7200472276284140E+000                  1.0794276802754272E+000                  7.1520710883216432E-002                  7.8132000758124320E-008                  4.3750648648683244E-001                  3.9871901175343449E-001                  7.1520710883216432E-002                  7.8132000758124320E-008                  4.3750648648683244E-001                  3.9871901175343449E-001                  4.5654599660509820E+000                  3.2032295606250099E+000                  3.9787491041595207E+000                  4.6802115694182360E+000                 -1.0553778182447047E+000                  4.5654589262576044E+000                  3.2032295606250099E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.8208255112053996E+032                  1.2171711580013396E+033                  5.5530135959787129E+033                  5.6521039575244918E+033                  6.5856813721320176E+033                  6.7450259560983729E+033                  3.0121000070962292E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7010470148320431E+000                  4.3734078541278576E+000                  2.3078687338524690E+000                  9.9822331726615177E-001                  1.9457539350680283E-004                  8.1811745630827861E+000                  3.1115491013382672E+000                  1.9132075260999830E+001                  3.1115491013382672E+000                  8.1811745630827861E+000                  1.3407428862513819E+000                  5.0000000000000011E-001                  4.0674354763583853E+000                  0.0000000000000000E+000                  9.7820166467441405E-001                  1.3364153287598228E-003                  3.8070585813460462E-004                  3.4416073257059446E-003                  9.3604492797742106E-003                  7.5543112578895393E+000                  7.1435977270938906E+000                                        5                                        0                                        5 
                                    1090                                     1552                  1.0770082532274852E+007                  1.3021420242616857E+000                  1.4999296262730603E+001                  3.4474749333857034E+001                 -6.7283815470015256E+000                  1.0801517003824721E+000                  4.9787864253976533E-001                  3.9364340573054479E-001                  7.1520801172297976E-002                  7.8132098124683580E-008                  4.9787864253976533E-001                  3.9364340573054479E-001                  7.1520801172297976E-002                  7.8132098124683580E-008                  4.5639843787859702E+000                  3.2027199647894302E+000                  3.9779312944448941E+000                  4.6788990991733517E+000                 -1.0554908573606865E+000                  4.5639833357252364E+000                  3.2027199647894302E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.8279271540301014E+032                  1.2185514342582284E+033                  5.5623655624069628E+033                  5.6575705031899790E+033                  6.5849962054215649E+033                  6.7432296534207594E+033                  3.0121000070962176E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6906236779862267E+000                  4.3586107902524622E+000                  2.3213168756064038E+000                  9.7132648549716849E-001                  2.0315180607747009E-004                  8.1811910029390589E+000                  3.1107652334697984E+000                  1.9131385053728028E+001                  3.1107652334697984E+000                  8.1811910029390589E+000                  1.3407494859426956E+000                  5.0000000000000000E-001                  4.0674962168513487E+000                  4.9265172098925730E-028                  9.7818520373233131E-001                  1.3417403455750596E-003                  3.8070736904436038E-004                  3.4416073257059420E-003                  9.3604492797742054E-003                  7.5566814035801473E+000                  7.1411597435198919E+000                                        5                                        0                                        6 
