                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                    3750                                     1170                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.2090306957866909E+007                  9.6857071884615916E-008                  3.5346751089687823E+003                  6.8057393944045005E+004                  6.9662248916224667E+002                  6.0040987717154231E+000                  2.3775403799417199E-027                  1.3303132026676713E-026                  2.2091258331253171E-005                  3.8844697195706633E-012                  1.3310341951384155E-032                  1.9387428724232406E-012                  2.5546996936493912E-015                  1.4692316964854294E+001                  0.0000000000000000E+000                  6.9736295449011072E+000                  1.6295663489168487E-004                  5.2725858697550763E+000                  1.1376906535391390E-001                  6.1959094289660094E-002                  4.7542253047927352E-001                  8.4222422554855778E-002                  4.0912722344458228E+000                  2.0697770079088622E+000                  2.0187462897892829E+000                  1.4222413911531100E+000                  8.8426757435367742E-001                  8.8426757435367742E-001                  1.4676128815130014E+001                  6.9089525975501192E+002                  1.4672839355827900E+001                  6.8984198094410499E+002                  4.8026911946417846E+007                  1.0687775217207543E+002                  2.1588127480952223E+006                 -4.3158845518103544E+014                  2.1401332705134717E-003                  2.0722259727756755E+009                  1.6907658704737749E+012                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.8154772032896269E+014 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.4692316964854294E+001                  2.8429974907386559E+000                  3.5483495016826687E+000                 -8.7725096402104779E+000                  2.5650001098766562E+000                  6.6072533630041042E-001                  3.1913071984489394E-001                  2.0143943854695645E-002 
                                       2                  1.4692316964839602E+001                  2.8429974907334055E+000                  3.5483495019795797E+000                 -8.7725096381336822E+000                  2.5650001122506709E+000                  6.6072533630041042E-001                  3.1913071984489394E-001                  2.0143943854695645E-002 
                                       3                  1.4692316964782435E+001                  2.8429974907129831E+000                  3.5483495029451113E+000                 -8.7725096313796254E+000                  2.5650001199707839E+000                  6.6072533629932240E-001                  3.1913071984598712E-001                  2.0143943854690427E-002 
                                       4                  1.4692316964605929E+001                  2.8429974906499256E+000                  3.5483495057152208E+000                 -8.7725096120025281E+000                  2.5650001421197830E+000                  6.6072533629685481E-001                  3.1913071984846619E-001                  2.0143943854678992E-002 
                                       5                  1.4692316964112035E+001                  2.8429974904734783E+000                  3.5483495132998075E+000                 -8.7725095589478705E+000                  2.5650002027639416E+000                  6.6072533629011621E-001                  3.1913071985523628E-001                  2.0143943854647572E-002 
                                       6                  1.4692316962770365E+001                  2.8429974899941581E+000                  3.5483495291225489E+000                 -8.7725094482653532E+000                  2.5650003292779471E+000                  6.6072533627262919E-001                  3.1913071987280500E-001                  2.0143943854565860E-002 
                                       7                  1.4692316960282731E+001                  2.8429974891054357E+000                  3.5483495496804252E+000                 -8.7725093044557259E+000                  2.5650004936525774E+000                  6.6072533624025576E-001                  3.1913071990532932E-001                  2.0143943854414870E-002 
                                       8                  1.4692316957795102E+001                  2.8429974882167159E+000                  3.5483495805172520E+000                 -8.7725090887485617E+000                  2.5650007402144026E+000                  6.6072533620796836E-001                  3.1913071993776743E-001                  2.0143943854264212E-002 
                                       9                  1.4692316952819835E+001                  2.8429974864392737E+000                  3.5483496370898662E+000                 -8.7725086930150589E+000                  2.5650011925509664E+000                  6.6072533614355611E-001                  3.1913072000248011E-001                  2.0143943853963786E-002 
